epoch,12/04 12:57:12 Standard Model (continued384) - _step,12/04 12:57:12 Standard Model (continued384) - _step__MIN,12/04 12:57:12 Standard Model (continued384) - _step__MAX,12/04 12:57:12 Standard Model (continued384) - D_Fake,12/04 12:57:12 Standard Model (continued384) - D_Fake__MIN,12/04 12:57:12 Standard Model (continued384) - D_Fake__MAX
0,6.5,0,13,-104.9173689,-158.1254272,-0.006430023
1,28.5,22,35,-95.98896081,-123.405304,-63.49073792
2,51,44,58,-68.6802152,-130.6604309,-44.73786163
3,67.5,61,74,-51.09457867,-93.08105469,-11.28984928
4,90,83,97,-48.21303684,-102.9568176,0.849486351
5,112.5,106,119,-47.79844928,-81.56488037,3.477210522
6,135,128,142,-51.25513647,-97.88790131,8.619945526
7,151.5,145,158,-52.05144603,-111.3335876,20.06787872
8,168,161,175,-66.03142544,-149.8842621,-4.210616589
9,190.5,184,197,-53.21665042,-100.6950607,-21.69508934
10,207,200,214,-62.07631887,-134.4033508,29.35619736
11,223.5,217,230,-64.89458418,-129.1981812,7.838468552
12,245.5,239,252,-60.11827295,-100.3328857,-6.292173862
13,268,261,275,-62.5649838,-134.7254333,24.68188286
14,290.5,284,297,-68.42963164,-144.9137726,-11.22440338
15,313,306,320,-64.10181357,-125.6201096,8.415244102
16,329.5,323,336,-71.0606096,-115.36409,-1.055901408
17,352,345,359,-68.64465294,-125.4411163,4.441797256
18,368.5,362,375,-65.76776549,-169.5545502,8.250711441
19,391,384,398,-62.52215977,-111.351593,-2.006608486
20,413.5,407,420,-72.21046788,-154.0254517,-14.73856163
21,430,423,437,-76.99330765,-163.0466156,27.81571198
22,452.5,446,459,-75.78461706,-130.1115417,0.801688492
23,475,468,482,-78.33735902,-184.9942322,27.52411079
24,491.5,485,498,-50.29582904,-127.4538574,28.0769577
25,507.5,501,514,-56.28275337,-120.47435,8.863190651
26,524,517,531,-57.30556424,-108.2215424,-9.259214401
27,546.5,540,553,-58.79388659,-117.6735001,-10.67062569
28,563,556,570,-54.27266436,-141.2975159,34.24355316
29,579.5,573,586,-70.1668443,-169.6621704,34.1089325
30,596,589,603,-59.43339713,-141.4660034,35.71878815
31,612.5,606,619,-60.54621707,-120.3169556,19.69018555
32,635,628,642,-52.87018522,-99.58461761,-2.810461044
33,651.5,645,658,-58.33749369,-105.5666809,15.55334568
34,674,667,681,-60.7105559,-131.9540405,12.69065285
35,696.5,690,703,-54.8624186,-120.7256012,45.29327393
36,719,712,726,-65.0380613,-145.5165558,9.842914581
37,741.5,735,748,-47.99030025,-101.181488,10.9624052
38,757.5,751,764,-58.16617632,-95.39494324,-8.141298294
39,780,773,787,-51.60781301,-95.81024933,38.25717545
40,802.5,796,809,-53.75197342,-118.5464249,11.49548912
41,819,812,826,-56.14681892,-135.0935364,21.75753212
42,841.5,835,848,-70.82597678,-137.7702332,10.36972523
43,864,857,871,-52.59213686,-111.5688095,8.126079559
44,886.5,880,893,-80.23460327,-180.4795837,51.72141647
45,909,902,916,-60.42217916,-129.0195465,17.21446228
46,931.5,925,938,-62.17858607,-143.3206177,17.44633102
47,948,941,955,-74.52217216,-134.4512329,29.58959961
48,970.5,964,977,-57.48822474,-148.9673615,56.37042236
49,993,986,1000,-62.07571475,-130.5717773,31.00608826
50,1015.5,1009,1022,-62.80003112,-171.7624664,43.90306091
51,1031.5,1025,1038,-62.18911525,-112.4610443,23.83294678
52,1054,1047,1061,-47.98500646,-118.9582062,25.47309875
53,1076.5,1070,1083,-52.23717556,-135.5308838,55.13661194
54,1099,1092,1106,-54.39984763,-144.4364471,68.76791382
55,1115.5,1109,1122,-46.77695719,-143.1102905,59.43218231
56,1138,1131,1145,-68.13064747,-152.8022461,27.50520134
57,1154.5,1148,1161,-57.7884483,-129.4978333,33.53253174
58,1171,1164,1178,-40.0783899,-105.3909073,40.09130478
59,1193.5,1187,1200,-67.28786605,-138.8411865,44.66371918
60,1210,1203,1217,-56.9013759,-141.8146515,10.45379257
61,1232.5,1226,1239,-57.79030292,-116.687973,-7.763483524
62,1254.5,1248,1261,-64.10723032,-123.8441162,27.3758316
63,1271,1264,1278,-56.35777702,-124.0407104,21.56334686
64,1293.5,1287,1300,-69.43974822,-128.4083099,-10.15899658
65,1316,1309,1323,-66.02272415,-100.7528305,-27.87049103
66,1338.5,1332,1345,-63.42660522,-121.5782242,-4.294807434
67,1355,1348,1362,-51.58220959,-121.4851685,36.26509094
68,1377.5,1371,1384,-60.66502795,-145.3385468,2.875219584
69,1400,1393,1407,-63.59656194,-144.085968,11.97542
70,1416.5,1410,1423,-65.22919938,-122.8186569,3.392091751
71,1433,1426,1440,-66.2214915,-157.5296021,41.17269135
72,1455.5,1449,1462,-68.6029044,-145.4517517,9.541241646
73,1472,1465,1479,-62.51871968,-127.1921387,-1.399464726
74,1494.5,1488,1501,-77.05687327,-149.0196381,15.85463524
75,1516.5,1510,1523,-61.78701445,-144.8137054,15.929883
76,1539,1532,1546,-75.32924042,-140.4976807,-11.30781174
77,1555.5,1549,1562,-70.13138403,-143.0666504,-2.165923119
78,1578,1571,1585,-71.96372636,-130.2230682,20.0099144
79,1594.5,1588,1601,-72.70216084,-138.4264984,-9.068777084
80,1617,1610,1624,-71.78342266,-146.4452515,18.85544205
81,1639.5,1633,1646,-77.72203646,-145.2158508,-5.354098797
82,1662,1655,1669,-71.38973948,-168.7295837,35.17281723
83,1684.5,1678,1691,-85.71252843,-191.0826874,8.792714119
84,1707,1700,1714,-70.27153473,-118.3085327,-13.90080261
85,1723.5,1717,1730,-72.99706214,-117.5350723,-15.37045288
86,1740,1733,1747,-75.92190971,-122.3627167,-13.39879036
87,1756.5,1750,1763,-74.85685572,-173.7064972,-2.661967516
88,1778.5,1772,1785,-74.74448456,-142.7327271,1.785291672
89,1801,1794,1808,-79.29779758,-158.7099152,4.257870674
90,1817.5,1811,1824,-87.47095544,-151.7084961,-20.53901291
91,1840,1833,1847,-73.04656862,-117.6411591,-9.536099434
92,1856.5,1850,1863,-91.16875013,-177.2815552,1.14944768
93,1873,1866,1880,-86.46893361,-158.1115417,-11.04631233
94,1895.5,1889,1902,-78.2334811,-143.5579834,-6.04984045
95,1918,1911,1925,-83.84355672,-151.821991,-21.1953392
96,1940.5,1934,1947,-85.38236509,-148.3374634,-10.39832306
97,1963,1956,1970,-78.92632621,-139.1197357,0.85848856
98,1985.5,1979,1992,-75.75794806,-152.5283813,-1.817199707
99,2008,2001,2015,-85.36472804,-135.1779633,-19.08808517
100,2024.5,2018,2031,-81.02149636,-109.9329834,-40.9786377
101,2046.5,2040,2053,-91.49840927,-137.8630371,-17.2761116
102,2063,2056,2070,-82.77033361,-164.8506775,-26.40400314
103,2085.5,2079,2092,-75.21566319,-169.0964966,-5.078135014
104,2108,2101,2115,-92.43152663,-173.7910156,1.304065704
105,2124.5,2118,2131,-82.58074842,-145.2828979,-18.46228409
106,2141,2134,2148,-90.35504704,-151.7432251,-10.20256233
107,2163.5,2157,2170,-82.81429209,-144.7700195,-23.35320282
108,2186,2179,2193,-89.62660074,-174.3829803,1.471781254
109,2208.5,2202,2215,-75.42869486,-134.067337,-42.11333466
110,2231,2224,2238,-92.95990664,-153.8640747,-23.34363747
111,2253.5,2247,2260,-86.63583483,-148.1181335,-44.67109299
