epoch,11/04 09:12:51 - Standard Model - _step,11/04 09:12:51 - Standard Model - _step__MIN,11/04 09:12:51 - Standard Model - _step__MAX,11/04 09:12:51 - Standard Model - D_Loss,11/04 09:12:51 - Standard Model - D_Loss__MIN,11/04 09:12:51 - Standard Model - D_Loss__MAX
0,6.5,0,13,-25.06679387,-51.57164001,7.770970345
1,28.5,22,35,-26.51713794,-40.1105957,-4.640802383
2,51,44,58,-17.73860617,-44.54260635,1.31357336
3,67.5,61,74,-16.62974027,-34.96272278,3.191401005
4,90,83,97,-12.14545965,-22.39288902,-4.982613564
5,112.5,106,119,-12.84296887,-26.90654564,-6.110929966
6,135,128,142,-11.15469669,-21.61158371,-4.526352882
7,151.5,145,158,-10.32794331,-21.02184486,-2.011039257
8,168,161,175,-12.62418979,-38.13623428,-4.96670866
9,190.5,184,197,-12.3384349,-20.13429451,-5.627650261
10,207,200,214,-12.79145225,-25.97880745,-6.507524014
11,223.5,217,230,-8.923144153,-16.5600872,-0.549151182
12,245.5,239,252,-10.03750811,-14.92302799,-3.789685726
13,268,261,275,-8.071289364,-13.78276062,-0.066563129
14,290.5,284,297,-10.4201858,-21.08289337,-5.70024395
15,313,306,320,-9.659500114,-17.19033813,-1.183212161
16,329.5,323,336,-8.618381296,-17.13246727,-3.35318327
17,352,345,359,-8.353688558,-18.74274635,-4.537917614
18,368.5,362,375,-11.48114269,-17.20165825,-4.284920216
19,391,384,398,-8.079689503,-14.34462738,-2.794849396
20,413.5,407,420,-7.819585391,-12.43247223,-3.981315136
21,430,423,437,-9.036310784,-15.00960159,-3.228357553
22,452.5,446,459,-8.823739103,-13.23852062,-2.95865798
23,475,468,482,-11.87383715,-31.14332199,-4.117680073
24,491.5,485,498,-8.890398979,-12.06765366,-3.642463684
25,507.5,501,514,-10.87370743,-17.75400925,-3.756574631
26,524,517,531,-11.12539069,-16.74602699,-6.30671072
27,546.5,540,553,-12.64509344,-15.69447422,-7.721693993
