epoch,11/04 09:12:51 - Standard Model - _step,11/04 09:12:51 - Standard Model - _step__MIN,11/04 09:12:51 - Standard Model - _step__MAX,11/04 09:12:51 - Standard Model - D_Penalty,11/04 09:12:51 - Standard Model - D_Penalty__MIN,11/04 09:12:51 - Standard Model - D_Penalty__MAX
0,6.5,0,13,6.965432729,0.440173388,11.72293663
1,28.5,22,35,7.894601618,4.487154961,11.08477783
2,51,44,58,5.083938758,2.970347404,7.023179531
3,67.5,61,74,2.737355386,1.443862438,4.3592906
4,90,83,97,2.59449017,1.639195204,4.148367405
5,112.5,106,119,2.03852347,1.367770433,3.197060823
6,135,128,142,2.299908042,1.362068057,3.325230598
7,151.5,145,158,2.348818396,1.151275516,3.911584616
8,168,161,175,2.233670676,0.71444279,4.599621773
9,190.5,184,197,1.691154897,0.907166123,3.302839041
10,207,200,214,1.889073352,0.749180853,3.568113327
11,223.5,217,230,1.63402079,0.219537288,4.02775383
12,245.5,239,252,1.402951155,0.955158174,2.333724737
13,268,261,275,1.650657362,0.48310551,3.15828371
14,290.5,284,297,1.357789642,0.42379424,2.200955153
15,313,306,320,1.248070681,0.823332071,2.034136295
16,329.5,323,336,1.292099587,0.384380877,2.574021339
17,352,345,359,1.183925939,0.378796458,1.681875229
18,368.5,362,375,1.353936838,0.527323425,2.994332075
19,391,384,398,1.127590044,0.532529831,2.267150402
20,413.5,407,420,1.176225441,0.552423894,2.576149464
21,430,423,437,1.473634863,0.363330841,2.581903696
22,452.5,446,459,1.221779344,0.368894786,2.633304596
23,475,468,482,1.487109522,0.496168137,3.407436848
24,491.5,485,498,1.189158814,0.328238904,1.947152853
25,507.5,501,514,1.228354582,0.382453561,2.528308392
26,524,517,531,1.464125244,0.708962321,2.998062372
27,546.5,540,553,1.507623553,0.800897241,2.280952454
28,563,556,570,1.501279036,0.842624426,2.524113655
29,579.5,573,586,1.521345701,0.780508757,2.435384274
30,596,589,603,1.439896067,0.806584954,2.726502895
31,612.5,606,619,1.354300154,0.598004997,2.34159255
32,635,628,642,1.338474639,0.603695989,2.707615852
33,651.5,645,658,1.612877871,0.823039711,2.153688192
34,674,667,681,1.484822897,0.799999833,2.716650963
35,696.5,690,703,1.599682995,0.858987689,2.358943462
36,719,712,726,1.4471808,0.766481459,2.581941128
37,741.5,735,748,1.38914603,0.908679008,2.058634996
38,757.5,751,764,1.236090507,0.7309497,2.102721691
39,780,773,787,1.183041175,0.650294423,2.048941612
40,802.5,796,809,1.144733625,0.748668849,1.77724719
41,819,812,826,1.322337548,0.713376701,2.868442059
42,841.5,835,848,1.402238471,0.704955757,2.607326269
43,864,857,871,1.153972677,0.432326853,1.807084203
44,886.5,880,893,1.482108321,0.650161982,2.21005249
45,909,902,916,1.446226803,0.858344436,2.51070118
46,931.5,925,938,1.18222243,0.535470128,1.951844692
47,948,941,955,1.471296382,0.49445349,3.002885818
48,970.5,964,977,1.260277678,0.282910496,2.041035891
49,993,986,1000,1.333394925,0.675622761,1.974644661
50,1015.5,1009,1022,1.451629392,0.689921975,2.236216545
51,1031.5,1025,1038,1.46896186,0.708185911,2.171080589
52,1054,1047,1061,1.227283716,0.53761512,2.005652189
53,1076.5,1070,1083,1.444348182,0.590222836,2.71417141
54,1099,1092,1106,1.544628072,0.770271063,3.175266266
55,1115.5,1109,1122,1.53562057,0.891237855,2.574623108
56,1138,1131,1145,1.526786963,0.728528261,2.649301291
57,1154.5,1148,1161,1.472890973,1.053453922,2.688651323
58,1171,1164,1178,1.322770003,0.827964842,2.076028585
59,1193.5,1187,1200,1.615885011,0.973396897,2.351708412
60,1210,1203,1217,1.492680641,0.795588791,2.638933182
61,1232.5,1226,1239,1.397364702,0.810581744,2.522399426
62,1254.5,1248,1261,1.237185559,0.791741908,2.114873171
63,1271,1264,1278,1.157624086,0.596650302,2.290801525
64,1293.5,1287,1300,1.505235348,0.666956365,2.684425831
65,1316,1309,1323,1.118965356,0.665436387,1.913776278
66,1338.5,1332,1345,1.136337663,0.754956245,1.724480987
67,1355,1348,1362,1.167435602,0.796301961,2.014045715
68,1377.5,1371,1384,1.252444127,0.558583379,2.186744213
69,1400,1393,1407,1.263870172,0.782258034,1.603127718
70,1416.5,1410,1423,1.418407372,0.828262091,2.218176603
71,1433,1426,1440,1.3373052,0.764934957,3.071617603
72,1455.5,1449,1462,1.402149435,0.584179223,2.351394653
73,1472,1465,1479,1.154997893,0.618607402,1.681759238
74,1494.5,1488,1501,1.307401985,0.562954187,2.13002038
