D_clean,D_fake,D_noisy
-260.3883361816406,-265.00494384765625,-418.9095153808594
-471.01702880859375,-459.80859375,-710.373046875
-363.69708251953125,-381.88916015625,-747.0137939453125
-378.03094482421875,-383.53826904296875,-1146.3929443359375
-254.10629272460938,-240.66416931152344,-368.2028503417969
-426.1015930175781,-388.940185546875,-512.6663208007812
-507.48712158203125,-484.68572998046875,-957.49755859375
-385.884033203125,-417.8960876464844,-964.084228515625
-442.13885498046875,-388.752685546875,-512.8475952148438
-316.2591857910156,-289.9599914550781,-425.164306640625
-278.2310791015625,-297.840576171875,-658.5108642578125
-403.3993225097656,-384.4930114746094,-883.6303100585938
-403.88531494140625,-365.2444763183594,-505.19647216796875
-471.5516357421875,-423.24859619140625,-715.7178344726562
-249.18028259277344,-251.2020263671875,-644.7154541015625
-263.8848876953125,-337.1947326660156,-1220.195068359375
-424.76507568359375,-374.3221130371094,-444.77288818359375
-356.40350341796875,-330.60748291015625,-462.5523681640625
-246.0626983642578,-238.27932739257812,-483.671630859375
-255.0248260498047,-292.9241943359375,-940.8118286132812
-592.374755859375,-555.9323120117188,-673.8905029296875
-247.85824584960938,-257.6181945800781,-505.50604248046875
-424.3824157714844,-406.8152160644531,-989.543701171875
-266.0885314941406,-356.00738525390625,-1365.4447021484375
-382.831787109375,-359.1994323730469,-426.7944030761719
-447.343994140625,-419.7308349609375,-730.408447265625
-251.40403747558594,-263.444580078125,-716.5299682617188
-423.21966552734375,-455.58465576171875,-1038.45556640625
-243.04815673828125,-250.86204528808594,-389.15557861328125
-195.03152465820312,-209.38246154785156,-404.24261474609375
-373.28497314453125,-361.9405517578125,-780.3110961914062
-302.7106018066406,-353.57672119140625,-1005.1217041015625
-281.72991943359375,-254.19471740722656,-400.17718505859375
-235.70982360839844,-219.16314697265625,-475.93475341796875
-210.72264099121094,-228.22665405273438,-761.3857421875
-151.68714904785156,-202.8557586669922,-785.718994140625
-210.55059814453125,-210.7188720703125,-273.2879943847656
-326.7762145996094,-311.112060546875,-585.5269165039062
-282.1777648925781,-302.15875244140625,-704.1093139648438
-236.03639221191406,-351.955322265625,-1368.958740234375
-177.77549743652344,-202.47593688964844,-326.099853515625
-159.7124786376953,-201.4579620361328,-378.6032409667969
-237.57188415527344,-232.6603546142578,-627.3101806640625
-234.33067321777344,-324.356201171875,-1319.85107421875
-346.5708923339844,-317.85235595703125,-390.76904296875
-206.77015686035156,-206.7606964111328,-382.2401123046875
-170.9999542236328,-219.59271240234375,-663.1912231445312
-312.47406005859375,-382.33392333984375,-929.8648071289062
-229.130859375,-251.4266815185547,-354.20758056640625
-355.40185546875,-331.6583251953125,-542.0498657226562
-268.79119873046875,-297.01068115234375,-934.0968627929688
-259.8504638671875,-354.0835266113281,-1151.57861328125
-210.25926208496094,-201.0623779296875,-307.58087158203125
-381.552734375,-345.15087890625,-505.0278015136719
-153.83338928222656,-161.81776428222656,-592.3295288085938
-320.5318603515625,-371.9958190917969,-1463.163330078125
-385.83184814453125,-349.0430603027344,-474.8531188964844
-316.55401611328125,-297.4150390625,-466.32904052734375
-214.5765838623047,-224.81610107421875,-524.2416381835938
-248.45957946777344,-338.262939453125,-1181.1728515625
-224.04388427734375,-206.40130615234375,-291.72705078125
-513.1188354492188,-466.3900146484375,-684.0026245117188
-419.567626953125,-393.1222229003906,-837.6843872070312
-417.17828369140625,-415.84478759765625,-1172.7327880859375
-327.6587829589844,-303.0054931640625,-449.8470764160156
-309.48504638671875,-287.9667053222656,-541.0758056640625
-391.88446044921875,-374.376220703125,-567.2332763671875
-217.33775329589844,-286.90655517578125,-895.0894165039062
-220.2705535888672,-222.1036834716797,-309.52166748046875
-350.4300537109375,-355.24005126953125,-647.9772338867188
-344.0470275878906,-360.9311218261719,-760.6862182617188
-193.3335418701172,-283.00848388671875,-795.2282104492188
-200.1053466796875,-184.11354064941406,-325.95428466796875
-226.0095977783203,-226.9729461669922,-457.75799560546875
-412.7732849121094,-386.7125244140625,-949.5017700195312
-153.26541137695312,-212.3273468017578,-928.5684814453125
-328.2673645019531,-323.1941833496094,-472.1729736328125
