"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Fake","18/04 13:01:40 - training only discriminator - D_Fake__MIN","18/04 13:01:40 - training only discriminator - D_Fake__MAX"
"0","1","1","1","-262.3044738769531","-262.3044738769531","-262.3044738769531"
"1","3","3","3","-496.5423889160156","-496.5423889160156","-496.5423889160156"
"2","5","5","5","-520.2927856445312","-520.2927856445312","-520.2927856445312"
"3","7","7","7","-527.3592529296875","-527.3592529296875","-527.3592529296875"
"4","9","9","9","-534.0747680664062","-534.0747680664062","-534.0747680664062"
"5","11","11","11","-537.6491088867188","-537.6491088867188","-537.6491088867188"
"6","13","13","13","-542.1659545898438","-542.1659545898438","-542.1659545898438"
"7","15","15","15","-547.82275390625","-547.82275390625","-547.82275390625"
"8","17","17","17","-549.7675170898438","-549.7675170898438","-549.7675170898438"
"9","19","19","19","-551.5906982421875","-551.5906982421875","-551.5906982421875"
"10","21","21","21","-556.0537719726562","-556.0537719726562","-556.0537719726562"
"11","23","23","23","-557.473388671875","-557.473388671875","-557.473388671875"
"12","25","25","25","-560.0411376953125","-560.0411376953125","-560.0411376953125"
"13","27","27","27","-562.66357421875","-562.66357421875","-562.66357421875"
"14","29","29","29","-564.9856567382812","-564.9856567382812","-564.9856567382812"
"15","31","31","31","-567.0016479492188","-567.0016479492188","-567.0016479492188"
"16","33","33","33","-568.0319213867188","-568.0319213867188","-568.0319213867188"
"17","35","35","35","-571.306640625","-571.306640625","-571.306640625"
"18","37","37","37","-571.4303588867188","-571.4303588867188","-571.4303588867188"
"19","39","39","39","-571.8486938476562","-571.8486938476562","-571.8486938476562"
"20","41","41","41","-572.6742553710938","-572.6742553710938","-572.6742553710938"
"21","43","43","43","-574.1798706054688","-574.1798706054688","-574.1798706054688"
"22","45","45","45","-574.24609375","-574.24609375","-574.24609375"
"23","47","47","47","-575.06298828125","-575.06298828125","-575.06298828125"
"24","49","49","49","-576.7423095703125","-576.7423095703125","-576.7423095703125"
"25","51","51","51","-576.8901977539062","-576.8901977539062","-576.8901977539062"
"26","53","53","53","-577.3453369140625","-577.3453369140625","-577.3453369140625"
"27","55","55","55","-579.819091796875","-579.819091796875","-579.819091796875"
"28","57","57","57","-580.37255859375","-580.37255859375","-580.37255859375"
"29","59","59","59","-579.9893188476562","-579.9893188476562","-579.9893188476562"
"30","61","61","61","-582.1519775390625","-582.1519775390625","-582.1519775390625"
"31","63","63","63","-579.7872314453125","-579.7872314453125","-579.7872314453125"
"32","65","65","65","-582.8802490234375","-582.8802490234375","-582.8802490234375"
"33","67","67","67","-582.9588012695312","-582.9588012695312","-582.9588012695312"
"34","69","69","69","-583.0689086914062","-583.0689086914062","-583.0689086914062"
"35","71","71","71","-584.4576416015625","-584.4576416015625","-584.4576416015625"
"36","73","73","73","-585.1812744140625","-585.1812744140625","-585.1812744140625"
"37","75","75","75","-585.7510986328125","-585.7510986328125","-585.7510986328125"
"38","77","77","77","-585.0143432617188","-585.0143432617188","-585.0143432617188"
"39","79","79","79","-586.3231201171875","-586.3231201171875","-586.3231201171875"
"40","81","81","81","-587.14892578125","-587.14892578125","-587.14892578125"
"41","83","83","83","-586.8072509765625","-586.8072509765625","-586.8072509765625"
"42","85","85","85","-589.6382446289062","-589.6382446289062","-589.6382446289062"
"43","87","87","87","-587.21728515625","-587.21728515625","-587.21728515625"
"44","89","89","89","-591.01953125","-591.01953125","-591.01953125"
"45","91","91","91","-589.0442504882812","-589.0442504882812","-589.0442504882812"
"46","93","93","93","-590.3683471679688","-590.3683471679688","-590.3683471679688"
"47","95","95","95","-591.6873779296875","-591.6873779296875","-591.6873779296875"
"48","97","97","97","-590.8171997070312","-590.8171997070312","-590.8171997070312"
"49","99","99","99","-591.376708984375","-591.376708984375","-591.376708984375"
"50","101","101","101","-591.3447265625","-591.3447265625","-591.3447265625"
"51","103","103","103","-594.8282470703125","-594.8282470703125","-594.8282470703125"
"52","105","105","105","-592.0750122070312","-592.0750122070312","-592.0750122070312"
"53","107","107","107","-592.934326171875","-592.934326171875","-592.934326171875"
"54","109","109","109","-593.55322265625","-593.55322265625","-593.55322265625"
"55","111","111","111","-592.9412231445312","-592.9412231445312","-592.9412231445312"
"56","113","113","113","-593.0119018554688","-593.0119018554688","-593.0119018554688"
"57","115","115","115","-593.692626953125","-593.692626953125","-593.692626953125"
"58","117","117","117","-592.9866943359375","-592.9866943359375","-592.9866943359375"
"59","119","119","119","-593.8145141601562","-593.8145141601562","-593.8145141601562"
"60","121","121","121","-595.1068725585938","-595.1068725585938","-595.1068725585938"
"61","123","123","123","-595.4569702148438","-595.4569702148438","-595.4569702148438"
"62","125","125","125","-595.6856689453125","-595.6856689453125","-595.6856689453125"
"63","127","127","127","-595.8687744140625","-595.8687744140625","-595.8687744140625"
"64","129","129","129","-596.0475463867188","-596.0475463867188","-596.0475463867188"
"65","131","131","131","-595.8416748046875","-595.8416748046875","-595.8416748046875"
"66","133","133","133","-596.8897094726562","-596.8897094726562","-596.8897094726562"
"67","135","135","135","-595.987060546875","-595.987060546875","-595.987060546875"
"68","137","137","137","-596.445068359375","-596.445068359375","-596.445068359375"
"69","139","139","139","-596.4754638671875","-596.4754638671875","-596.4754638671875"
"70","141","141","141","-596.48583984375","-596.48583984375","-596.48583984375"
"71","143","143","143","-596.5146484375","-596.5146484375","-596.5146484375"
"72","145","145","145","-598.1134643554688","-598.1134643554688","-598.1134643554688"
"73","147","147","147","-596.0020141601562","-596.0020141601562","-596.0020141601562"
"74","149","149","149","-596.8051147460938","-596.8051147460938","-596.8051147460938"
"75","151","151","151","-598.4578247070312","-598.4578247070312","-598.4578247070312"
"76","153","153","153","-598.0757446289062","-598.0757446289062","-598.0757446289062"
"77","155","155","155","-597.1950073242188","-597.1950073242188","-597.1950073242188"
"78","157","157","157","-599.0831909179688","-599.0831909179688","-599.0831909179688"
"79","159","159","159","-598.439208984375","-598.439208984375","-598.439208984375"
"80","161","161","161","-597.62109375","-597.62109375","-597.62109375"
"81","163","163","163","-598.521240234375","-598.521240234375","-598.521240234375"
"82","165","165","165","-599.73876953125","-599.73876953125","-599.73876953125"
"83","167","167","167","-598.7423706054688","-598.7423706054688","-598.7423706054688"
