"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Loss","18/04 13:01:40 - training only discriminator - D_Loss__MIN","18/04 13:01:40 - training only discriminator - D_Loss__MAX"
"0","1","1","1","-71.76212310791016","-71.76212310791016","-71.76212310791016"
"1","3","3","3","-160.4507293701172","-160.4507293701172","-160.4507293701172"
"2","5","5","5","-175.20938110351562","-175.20938110351562","-175.20938110351562"
"3","7","7","7","-183.04322814941406","-183.04322814941406","-183.04322814941406"
"4","9","9","9","-189.0709686279297","-189.0709686279297","-189.0709686279297"
"5","11","11","11","-192.3488006591797","-192.3488006591797","-192.3488006591797"
"6","13","13","13","-194.557373046875","-194.557373046875","-194.557373046875"
"7","15","15","15","-196.21014404296875","-196.21014404296875","-196.21014404296875"
"8","17","17","17","-198.11553955078125","-198.11553955078125","-198.11553955078125"
"9","19","19","19","-199.1169891357422","-199.1169891357422","-199.1169891357422"
"10","21","21","21","-201.3700714111328","-201.3700714111328","-201.3700714111328"
"11","23","23","23","-202.29348754882812","-202.29348754882812","-202.29348754882812"
"12","25","25","25","-203.4072723388672","-203.4072723388672","-203.4072723388672"
"13","27","27","27","-204.6887969970703","-204.6887969970703","-204.6887969970703"
"14","29","29","29","-205.34669494628906","-205.34669494628906","-205.34669494628906"
"15","31","31","31","-206.6622314453125","-206.6622314453125","-206.6622314453125"
"16","33","33","33","-206.3754119873047","-206.3754119873047","-206.3754119873047"
"17","35","35","35","-208.15447998046875","-208.15447998046875","-208.15447998046875"
"18","37","37","37","-208.5935821533203","-208.5935821533203","-208.5935821533203"
"19","39","39","39","-209.0944366455078","-209.0944366455078","-209.0944366455078"
"20","41","41","41","-209.29681396484375","-209.29681396484375","-209.29681396484375"
"21","43","43","43","-209.41700744628906","-209.41700744628906","-209.41700744628906"
"22","45","45","45","-210.24647521972656","-210.24647521972656","-210.24647521972656"
"23","47","47","47","-210.4167938232422","-210.4167938232422","-210.4167938232422"
"24","49","49","49","-211.27490234375","-211.27490234375","-211.27490234375"
"25","51","51","51","-211.65057373046875","-211.65057373046875","-211.65057373046875"
"26","53","53","53","-212.49362182617188","-212.49362182617188","-212.49362182617188"
"27","55","55","55","-212.79637145996094","-212.79637145996094","-212.79637145996094"
"28","57","57","57","-213.09591674804688","-213.09591674804688","-213.09591674804688"
"29","59","59","59","-212.85450744628906","-212.85450744628906","-212.85450744628906"
"30","61","61","61","-214.08802795410156","-214.08802795410156","-214.08802795410156"
"31","63","63","63","-213.2906494140625","-213.2906494140625","-213.2906494140625"
"32","65","65","65","-213.56959533691406","-213.56959533691406","-213.56959533691406"
"33","67","67","67","-214.45053100585938","-214.45053100585938","-214.45053100585938"
"34","69","69","69","-215.19564819335938","-215.19564819335938","-215.19564819335938"
"35","71","71","71","-215.4163360595703","-215.4163360595703","-215.4163360595703"
"36","73","73","73","-215.62493896484375","-215.62493896484375","-215.62493896484375"
"37","75","75","75","-215.79885864257812","-215.79885864257812","-215.79885864257812"
"38","77","77","77","-215.5511474609375","-215.5511474609375","-215.5511474609375"
"39","79","79","79","-216.24375915527344","-216.24375915527344","-216.24375915527344"
"40","81","81","81","-216.4205322265625","-216.4205322265625","-216.4205322265625"
"41","83","83","83","-216.27528381347656","-216.27528381347656","-216.27528381347656"
"42","85","85","85","-217.50192260742188","-217.50192260742188","-217.50192260742188"
"43","87","87","87","-217.1461944580078","-217.1461944580078","-217.1461944580078"
"44","89","89","89","-217.70132446289062","-217.70132446289062","-217.70132446289062"
"45","91","91","91","-217.64794921875","-217.64794921875","-217.64794921875"
"46","93","93","93","-217.83392333984375","-217.83392333984375","-217.83392333984375"
"47","95","95","95","-218.4437713623047","-218.4437713623047","-218.4437713623047"
"48","97","97","97","-218.73162841796875","-218.73162841796875","-218.73162841796875"
"49","99","99","99","-218.59857177734375","-218.59857177734375","-218.59857177734375"
"50","101","101","101","-218.64498901367188","-218.64498901367188","-218.64498901367188"
"51","103","103","103","-219.526123046875","-219.526123046875","-219.526123046875"
"52","105","105","105","-218.7953338623047","-218.7953338623047","-218.7953338623047"
"53","107","107","107","-219.23458862304688","-219.23458862304688","-219.23458862304688"
"54","109","109","109","-219.7041473388672","-219.7041473388672","-219.7041473388672"
"55","111","111","111","-219.6585235595703","-219.6585235595703","-219.6585235595703"
"56","113","113","113","-219.8838348388672","-219.8838348388672","-219.8838348388672"
"57","115","115","115","-220.04920959472656","-220.04920959472656","-220.04920959472656"
"58","117","117","117","-219.41522216796875","-219.41522216796875","-219.41522216796875"
"59","119","119","119","-220.47134399414062","-220.47134399414062","-220.47134399414062"
"60","121","121","121","-220.60653686523438","-220.60653686523438","-220.60653686523438"
"61","123","123","123","-220.9247283935547","-220.9247283935547","-220.9247283935547"
"62","125","125","125","-220.6051025390625","-220.6051025390625","-220.6051025390625"
"63","127","127","127","-221.08901977539062","-221.08901977539062","-221.08901977539062"
"64","129","129","129","-221.08006286621094","-221.08006286621094","-221.08006286621094"
"65","131","131","131","-220.33392333984375","-220.33392333984375","-220.33392333984375"
"66","133","133","133","-221.7857208251953","-221.7857208251953","-221.7857208251953"
"67","135","135","135","-221.1057586669922","-221.1057586669922","-221.1057586669922"
"68","137","137","137","-221.52169799804688","-221.52169799804688","-221.52169799804688"
"69","139","139","139","-221.91134643554688","-221.91134643554688","-221.91134643554688"
"70","141","141","141","-221.85211181640625","-221.85211181640625","-221.85211181640625"
"71","143","143","143","-222.06204223632812","-222.06204223632812","-222.06204223632812"
"72","145","145","145","-222.41184997558594","-222.41184997558594","-222.41184997558594"
"73","147","147","147","-221.5643310546875","-221.5643310546875","-221.5643310546875"
"74","149","149","149","-221.67323303222656","-221.67323303222656","-221.67323303222656"
"75","151","151","151","-222.02999877929688","-222.02999877929688","-222.02999877929688"
"76","153","153","153","-221.76698303222656","-221.76698303222656","-221.76698303222656"
"77","155","155","155","-221.6343994140625","-221.6343994140625","-221.6343994140625"
"78","157","157","157","-222.33108520507812","-222.33108520507812","-222.33108520507812"
"79","159","159","159","-222.4306640625","-222.4306640625","-222.4306640625"
"80","161","161","161","-222.86888122558594","-222.86888122558594","-222.86888122558594"
"81","163","163","163","-222.64149475097656","-222.64149475097656","-222.64149475097656"
"82","165","165","165","-222.919677734375","-222.919677734375","-222.919677734375"
"83","167","167","167","-222.89634704589844","-222.89634704589844","-222.89634704589844"
"84","169","169","169","-223.27206420898438","-223.27206420898438","-223.27206420898438"
"85","171","171","171","-222.73179626464844","-222.73179626464844","-222.73179626464844"
"86","173","173","173","-223.09776306152344","-223.09776306152344","-223.09776306152344"
"87","175","175","175","-223.25831604003906","-223.25831604003906","-223.25831604003906"
"88","177","177","177","-223.1185760498047","-223.1185760498047","-223.1185760498047"
"89","179","179","179","-223.01162719726562","-223.01162719726562","-223.01162719726562"
"90","181","181","181","-223.49679565429688","-223.49679565429688","-223.49679565429688"
"91","183","183","183","-223.314697265625","-223.314697265625","-223.314697265625"
"92","185","185","185","-223.6363067626953","-223.6363067626953","-223.6363067626953"
"93","187","187","187","-223.97201538085938","-223.97201538085938","-223.97201538085938"
"94","189","189","189","-223.736083984375","-223.736083984375","-223.736083984375"
"95","191","191","191","-224.12136840820312","-224.12136840820312","-224.12136840820312"
"96","193","193","193","-224.5935821533203","-224.5935821533203","-224.5935821533203"
"97","195","195","195","-224.4820556640625","-224.4820556640625","-224.4820556640625"
"98","197","197","197","-223.62188720703125","-223.62188720703125","-223.62188720703125"
"99","199","199","199","-224.18157958984375","-224.18157958984375","-224.18157958984375"
"100","201","201","201","-224.9036407470703","-224.9036407470703","-224.9036407470703"
"101","203","203","203","-224.34902954101562","-224.34902954101562","-224.34902954101562"
"102","205","205","205","-224.37147521972656","-224.37147521972656","-224.37147521972656"
"103","207","207","207","-224.78782653808594","-224.78782653808594","-224.78782653808594"
"104","209","209","209","-224.1273193359375","-224.1273193359375","-224.1273193359375"
"105","211","211","211","-224.978759765625","-224.978759765625","-224.978759765625"
"106","213","213","213","-224.40179443359375","-224.40179443359375","-224.40179443359375"
"107","215","215","215","-226.2581329345703","-226.2581329345703","-226.2581329345703"
"108","217","217","217","-226.10289001464844","-226.10289001464844","-226.10289001464844"
"109","219","219","219","-225.32240295410156","-225.32240295410156","-225.32240295410156"
"110","221","221","221","-226.54364013671875","-226.54364013671875","-226.54364013671875"
"111","223","223","223","-226.20155334472656","-226.20155334472656","-226.20155334472656"
"112","225","225","225","-225.68931579589844","-225.68931579589844","-225.68931579589844"
"113","227","227","227","-225.76275634765625","-225.76275634765625","-225.76275634765625"
"114","229","229","229","-226.18470764160156","-226.18470764160156","-226.18470764160156"
"115","231","231","231","-226.0918426513672","-226.0918426513672","-226.0918426513672"
"116","233","233","233","-225.32470703125","-225.32470703125","-225.32470703125"
"117","235","235","235","-226.11920166015625","-226.11920166015625","-226.11920166015625"
"118","237","237","237","-226.55911254882812","-226.55911254882812","-226.55911254882812"
"119","239","239","239","-225.71717834472656","-225.71717834472656","-225.71717834472656"
"120","241","241","241","-226.61032104492188","-226.61032104492188","-226.61032104492188"
"121","243","243","243","-226.03956604003906","-226.03956604003906","-226.03956604003906"
"122","245","245","245","-226.0026092529297","-226.0026092529297","-226.0026092529297"
"123","247","247","247","-226.49412536621094","-226.49412536621094","-226.49412536621094"
"124","249","249","249","-226.39695739746094","-226.39695739746094","-226.39695739746094"
"125","251","251","251","-226.5617218017578","-226.5617218017578","-226.5617218017578"
"126","253","253","253","-227.5347442626953","-227.5347442626953","-227.5347442626953"
"127","255","255","255","-226.3126220703125","-226.3126220703125","-226.3126220703125"
"128","257","257","257","-226.6611785888672","-226.6611785888672","-226.6611785888672"
"129","259","259","259","-226.58262634277344","-226.58262634277344","-226.58262634277344"
"130","261","261","261","-227.148681640625","-227.148681640625","-227.148681640625"
"131","263","263","263","-226.6895294189453","-226.6895294189453","-226.6895294189453"
"132","265","265","265","-226.80111694335938","-226.80111694335938","-226.80111694335938"
"133","267","267","267","-227.4664764404297","-227.4664764404297","-227.4664764404297"
"134","269","269","269","-227.5872039794922","-227.5872039794922","-227.5872039794922"
"135","271","271","271","-226.89772033691406","-226.89772033691406","-226.89772033691406"
"136","273","273","273","-227.45684814453125","-227.45684814453125","-227.45684814453125"
"137","275","275","275","-226.8761444091797","-226.8761444091797","-226.8761444091797"
"138","277","277","277","-227.60739135742188","-227.60739135742188","-227.60739135742188"
"139","279","279","279","-227.74172973632812","-227.74172973632812","-227.74172973632812"
"140","281","281","281","-227.53146362304688","-227.53146362304688","-227.53146362304688"
"141","283","283","283","-227.2576446533203","-227.2576446533203","-227.2576446533203"
"142","285","285","285","-228.0757293701172","-228.0757293701172","-228.0757293701172"
"143","287","287","287","-227.52008056640625","-227.52008056640625","-227.52008056640625"
"144","289","289","289","-227.68267822265625","-227.68267822265625","-227.68267822265625"
"145","291","291","291","-227.72528076171875","-227.72528076171875","-227.72528076171875"
"146","293","293","293","-228.79324340820312","-228.79324340820312","-228.79324340820312"
"147","295","295","295","-227.90322875976562","-227.90322875976562","-227.90322875976562"
"148","297","297","297","-228.32546997070312","-228.32546997070312","-228.32546997070312"
"149","299","299","299","-228.4910125732422","-228.4910125732422","-228.4910125732422"
"150","301","301","301","-228.67347717285156","-228.67347717285156","-228.67347717285156"
"151","303","303","303","-228.35963439941406","-228.35963439941406","-228.35963439941406"
"152","305","305","305","-228.7752685546875","-228.7752685546875","-228.7752685546875"
"153","307","307","307","-229.47903442382812","-229.47903442382812","-229.47903442382812"
"154","309","309","309","-228.86228942871094","-228.86228942871094","-228.86228942871094"
"155","311","311","311","-228.31072998046875","-228.31072998046875","-228.31072998046875"
"156","313","313","313","-228.568359375","-228.568359375","-228.568359375"
"157","315","315","315","-229.254150390625","-229.254150390625","-229.254150390625"
"158","317","317","317","-228.57469177246094","-228.57469177246094","-228.57469177246094"
"159","319","319","319","-228.7906036376953","-228.7906036376953","-228.7906036376953"
"160","321","321","321","-229.4803924560547","-229.4803924560547","-229.4803924560547"
"161","323","323","323","-229.72898864746094","-229.72898864746094","-229.72898864746094"
"162","325","325","325","-229.35853576660156","-229.35853576660156","-229.35853576660156"
"163","327","327","327","-228.83070373535156","-228.83070373535156","-228.83070373535156"
