"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Real","18/04 13:01:40 - training only discriminator - D_Real__MIN","18/04 13:01:40 - training only discriminator - D_Real__MAX"
"0","1","1","1","-164.73568725585938","-164.73568725585938","-164.73568725585938"
"1","3","3","3","-275.2204284667969","-275.2204284667969","-275.2204284667969"
"2","5","5","5","-276.0489807128906","-276.0489807128906","-276.0489807128906"
"3","7","7","7","-273.6694641113281","-273.6694641113281","-273.6694641113281"
"4","9","9","9","-272.60992431640625","-272.60992431640625","-272.60992431640625"
"5","11","11","11","-270.3236389160156","-270.3236389160156","-270.3236389160156"
"6","13","13","13","-270.90283203125","-270.90283203125","-270.90283203125"
"7","15","15","15","-272.86541748046875","-272.86541748046875","-272.86541748046875"
"8","17","17","17","-272.2110900878906","-272.2110900878906","-272.2110900878906"
"9","19","19","19","-271.9705810546875","-271.9705810546875","-271.9705810546875"
"10","21","21","21","-273.3419189453125","-273.3419189453125","-273.3419189453125"
"11","23","23","23","-272.9976806640625","-272.9976806640625","-272.9976806640625"
"12","25","25","25","-274.22064208984375","-274.22064208984375","-274.22064208984375"
"13","27","27","27","-274.94244384765625","-274.94244384765625","-274.94244384765625"
"14","29","29","29","-275.98687744140625","-275.98687744140625","-275.98687744140625"
"15","31","31","31","-276.4132385253906","-276.4132385253906","-276.4132385253906"
"16","33","33","33","-277.26336669921875","-277.26336669921875","-277.26336669921875"
"17","35","35","35","-278.3052673339844","-278.3052673339844","-278.3052673339844"
"18","37","37","37","-278.13909912109375","-278.13909912109375","-278.13909912109375"
"19","39","39","39","-277.9694519042969","-277.9694519042969","-277.9694519042969"
"20","41","41","41","-278.0042724609375","-278.0042724609375","-278.0042724609375"
"21","43","43","43","-279.163818359375","-279.163818359375","-279.163818359375"
"22","45","45","45","-278.525634765625","-278.525634765625","-278.525634765625"
"23","47","47","47","-278.51226806640625","-278.51226806640625","-278.51226806640625"
"24","49","49","49","-279.26947021484375","-279.26947021484375","-279.26947021484375"
"25","51","51","51","-279.06610107421875","-279.06610107421875","-279.06610107421875"
"26","53","53","53","-278.744140625","-278.744140625","-278.744140625"
"27","55","55","55","-279.97967529296875","-279.97967529296875","-279.97967529296875"
"28","57","57","57","-280.5771179199219","-280.5771179199219","-280.5771179199219"
"29","59","59","59","-280.1375427246094","-280.1375427246094","-280.1375427246094"
"30","61","61","61","-280.7406005859375","-280.7406005859375","-280.7406005859375"
"31","63","63","63","-279.78350830078125","-279.78350830078125","-279.78350830078125"
"32","65","65","65","-281.4810791015625","-281.4810791015625","-281.4810791015625"
"33","67","67","67","-280.6881408691406","-280.6881408691406","-280.6881408691406"
"34","69","69","69","-280.3999938964844","-280.3999938964844","-280.3999938964844"
"35","71","71","71","-280.9751892089844","-280.9751892089844","-280.9751892089844"
"36","73","73","73","-281.6395568847656","-281.6395568847656","-281.6395568847656"
"37","75","75","75","-281.7223205566406","-281.7223205566406","-281.7223205566406"
"38","77","77","77","-281.2686767578125","-281.2686767578125","-281.2686767578125"
"39","79","79","79","-281.788818359375","-281.788818359375","-281.788818359375"
"40","81","81","81","-282.2525634765625","-282.2525634765625","-282.2525634765625"
"41","83","83","83","-281.9676818847656","-281.9676818847656","-281.9676818847656"
"42","85","85","85","-282.8736267089844","-282.8736267089844","-282.8736267089844"
"43","87","87","87","-281.53900146484375","-281.53900146484375","-281.53900146484375"
"44","89","89","89","-283.5267028808594","-283.5267028808594","-283.5267028808594"
"45","91","91","91","-282.12237548828125","-282.12237548828125","-282.12237548828125"
"46","93","93","93","-282.87713623046875","-282.87713623046875","-282.87713623046875"
"47","95","95","95","-283.3988952636719","-283.3988952636719","-283.3988952636719"
"48","97","97","97","-282.05889892578125","-282.05889892578125","-282.05889892578125"
"49","99","99","99","-283.1057434082031","-283.1057434082031","-283.1057434082031"
"50","101","101","101","-282.305419921875","-282.305419921875","-282.305419921875"
"51","103","103","103","-284.2952880859375","-284.2952880859375","-284.2952880859375"
"52","105","105","105","-282.8200988769531","-282.8200988769531","-282.8200988769531"
"53","107","107","107","-283.33074951171875","-283.33074951171875","-283.33074951171875"
"54","109","109","109","-283.0581970214844","-283.0581970214844","-283.0581970214844"
"55","111","111","111","-282.65771484375","-282.65771484375","-282.65771484375"
"56","113","113","113","-281.9833068847656","-281.9833068847656","-281.9833068847656"
"57","115","115","115","-282.6171875","-282.6171875","-282.6171875"
"58","117","117","117","-282.76458740234375","-282.76458740234375","-282.76458740234375"
"59","119","119","119","-282.1278991699219","-282.1278991699219","-282.1278991699219"
"60","121","121","121","-283.0590515136719","-283.0590515136719","-283.0590515136719"
