"epoch","02/05 09:08:20 - training only generator - _step","02/05 09:08:20 - training only generator - _step__MIN","02/05 09:08:20 - training only generator - _step__MAX","02/05 09:08:20 - training only generator - MOS SQUIM","02/05 09:08:20 - training only generator - MOS SQUIM__MIN","02/05 09:08:20 - training only generator - MOS SQUIM__MAX"
"0","6","6","6","3.658186197280884","3.658186197280884","3.658186197280884"
"10","56","56","56","3.898958444595337","3.898958444595337","3.898958444595337"
"20","106","106","106","3.9324676990509033","3.9324676990509033","3.9324676990509033"
"30","156","156","156","3.9253218173980713","3.9253218173980713","3.9253218173980713"
"40","206","206","206","3.929744005203247","3.929744005203247","3.929744005203247"
"50","256","256","256","3.9193923473358154","3.9193923473358154","3.9193923473358154"
"60","306","306","306","3.955615997314453","3.955615997314453","3.955615997314453"
"70","356","356","356","3.955977201461792","3.955977201461792","3.955977201461792"
"80","406","406","406","3.9969921112060547","3.9969921112060547","3.9969921112060547"
"90","456","456","456","3.9384090900421143","3.9384090900421143","3.9384090900421143"
"100","506","506","506","4.000655651092529","4.000655651092529","4.000655651092529"
"110","556","556","556","4.061744689941406","4.061744689941406","4.061744689941406"
"120","606","606","606","4.0692830085754395","4.0692830085754395","4.0692830085754395"
"130","656","656","656","4.018818378448486","4.018818378448486","4.018818378448486"
"140","706","706","706","4.077446460723877","4.077446460723877","4.077446460723877"
"150","756","756","756","4.047224044799805","4.047224044799805","4.047224044799805"
"160","806","806","806","4.038643836975098","4.038643836975098","4.038643836975098"
"170","856","856","856","4.047524929046631","4.047524929046631","4.047524929046631"
"180","906","906","906","4.042660236358643","4.042660236358643","4.042660236358643"
"190","956","956","956","4.021020889282227","4.021020889282227","4.021020889282227"
"200","1006","1006","1006","4.0796356201171875","4.0796356201171875","4.0796356201171875"
"210","1056","1056","1056","4.113860130310059","4.113860130310059","4.113860130310059"
"220","1106","1106","1106","4.042678356170654","4.042678356170654","4.042678356170654"
"230","1156","1156","1156","4.083663463592529","4.083663463592529","4.083663463592529"
"240","1206","1206","1206","4.100686073303223","4.100686073303223","4.100686073303223"
"250","1256","1256","1256","4.12622594833374","4.12622594833374","4.12622594833374"
"260","1306","1306","1306","4.055312156677246","4.055312156677246","4.055312156677246"
"270","1356","1356","1356","4.102468967437744","4.102468967437744","4.102468967437744"
"280","1406","1406","1406","4.1008148193359375","4.1008148193359375","4.1008148193359375"
"290","1456","1456","1456","4.000637531280518","4.000637531280518","4.000637531280518"
"300","1506","1506","1506","4.102097988128662","4.102097988128662","4.102097988128662"
"310","1556","1556","1556","4.0436930656433105","4.0436930656433105","4.0436930656433105"
"320","1606","1606","1606","4.0488810539245605","4.0488810539245605","4.0488810539245605"
"330","1656","1656","1656","4.038118362426758","4.038118362426758","4.038118362426758"
"340","1706","1706","1706","4.07373046875","4.07373046875","4.07373046875"
"350","1756","1756","1756","4.045378684997559","4.045378684997559","4.045378684997559"
"360","1806","1806","1806","4.082864761352539","4.082864761352539","4.082864761352539"
"370","1856","1856","1856","4.108368873596191","4.108368873596191","4.108368873596191"
"380","1906","1906","1906","4.04148006439209","4.04148006439209","4.04148006439209"
"390","1956","1956","1956","4.096211910247803","4.096211910247803","4.096211910247803"
"400","2006","2006","2006","4.0591912269592285","4.0591912269592285","4.0591912269592285"
"410","2056","2056","2056","4.068244457244873","4.068244457244873","4.068244457244873"
"420","2106","2106","2106","4.061254024505615","4.061254024505615","4.061254024505615"
"430","2156","2156","2156","4.096296310424805","4.096296310424805","4.096296310424805"
"440","2206","2206","2206","4.124565601348877","4.124565601348877","4.124565601348877"
"450","2256","2256","2256","4.0546555519104","4.0546555519104","4.0546555519104"
"460","2306","2306","2306","4.152331829071045","4.152331829071045","4.152331829071045"
"470","2356","2356","2356","4.068675994873047","4.068675994873047","4.068675994873047"
"480","2406","2406","2406","4.0848708152771","4.0848708152771","4.0848708152771"
"490","2456","2456","2456","4.07344388961792","4.07344388961792","4.07344388961792"
"500","2506","2506","2506","4.131042957305908","4.131042957305908","4.131042957305908"
