"epoch","02/05 09:08:20 - training only generator - _step","02/05 09:08:20 - training only generator - _step__MIN","02/05 09:08:20 - training only generator - _step__MAX","02/05 09:08:20 - training only generator - Fidelity Loss","02/05 09:08:20 - training only generator - Fidelity Loss__MIN","02/05 09:08:20 - training only generator - Fidelity Loss__MAX"
"0","7","7","7","1363327","1363327","1363327"
"1","12","12","12","1099226.25","1099226.25","1099226.25"
"2","17","17","17","1031403.5625","1031403.5625","1031403.5625"
"3","22","22","22","996735.375","996735.375","996735.375"
"4","27","27","27","968455.8125","968455.8125","968455.8125"
"5","32","32","32","949006.3125","949006.3125","949006.3125"
"6","37","37","37","933987.5","933987.5","933987.5"
"7","42","42","42","921577.9375","921577.9375","921577.9375"
"8","47","47","47","911948.375","911948.375","911948.375"
"9","52","52","52","901898.625","901898.625","901898.625"
"10","57","57","57","895387.4375","895387.4375","895387.4375"
"11","62","62","62","889142.8125","889142.8125","889142.8125"
"12","67","67","67","882822","882822","882822"
"13","72","72","72","876424.125","876424.125","876424.125"
"14","77","77","77","874555.8125","874555.8125","874555.8125"
"15","82","82","82","867190.4375","867190.4375","867190.4375"
"16","87","87","87","865115.375","865115.375","865115.375"
"17","92","92","92","859852.75","859852.75","859852.75"
"18","97","97","97","857099.25","857099.25","857099.25"
"19","102","102","102","854697.0625","854697.0625","854697.0625"
"20","107","107","107","849293.4375","849293.4375","849293.4375"
"21","112","112","112","846575.8125","846575.8125","846575.8125"
"22","117","117","117","845093.25","845093.25","845093.25"
"23","122","122","122","842602.3125","842602.3125","842602.3125"
"24","127","127","127","840406.0625","840406.0625","840406.0625"
"25","132","132","132","838127.625","838127.625","838127.625"
"26","137","137","137","837071.6875","837071.6875","837071.6875"
"27","142","142","142","834519.8125","834519.8125","834519.8125"
"28","147","147","147","832778.8125","832778.8125","832778.8125"
"29","152","152","152","830480.125","830480.125","830480.125"
"30","157","157","157","828291.1875","828291.1875","828291.1875"
"31","162","162","162","825575.5625","825575.5625","825575.5625"
"32","167","167","167","825652.0625","825652.0625","825652.0625"
"33","172","172","172","823990.1875","823990.1875","823990.1875"
"34","177","177","177","821395.9375","821395.9375","821395.9375"
"35","182","182","182","821044.25","821044.25","821044.25"
"36","187","187","187","818910.125","818910.125","818910.125"
"37","192","192","192","817658.75","817658.75","817658.75"
"38","197","197","197","815949","815949","815949"
"39","202","202","202","816014.625","816014.625","816014.625"
"40","207","207","207","812842.375","812842.375","812842.375"
"41","212","212","212","813624.5625","813624.5625","813624.5625"
"42","217","217","217","810936.625","810936.625","810936.625"
"43","222","222","222","810052.9375","810052.9375","810052.9375"
"44","227","227","227","808463.25","808463.25","808463.25"
"45","232","232","232","805916.3125","805916.3125","805916.3125"
"46","237","237","237","806425.9375","806425.9375","806425.9375"
"47","242","242","242","805524.875","805524.875","805524.875"
"48","247","247","247","805234.875","805234.875","805234.875"
"49","252","252","252","803299.0625","803299.0625","803299.0625"
"50","257","257","257","802909.125","802909.125","802909.125"
"51","262","262","262","803283.1875","803283.1875","803283.1875"
"52","267","267","267","800742.9375","800742.9375","800742.9375"
"53","272","272","272","799670.625","799670.625","799670.625"
"54","277","277","277","799850.9375","799850.9375","799850.9375"
"55","282","282","282","800397.25","800397.25","800397.25"
"56","287","287","287","798546.4375","798546.4375","798546.4375"
"57","292","292","292","797264.8125","797264.8125","797264.8125"
"58","297","297","297","797272.9375","797272.9375","797272.9375"
"59","302","302","302","794405.4375","794405.4375","794405.4375"
"60","307","307","307","795554.9375","795554.9375","795554.9375"
"61","312","312","312","791959.125","791959.125","791959.125"
"62","317","317","317","792465.625","792465.625","792465.625"
"63","322","322","322","791947.0625","791947.0625","791947.0625"
"64","327","327","327","790392.9375","790392.9375","790392.9375"
"65","332","332","332","791210.3125","791210.3125","791210.3125"
"66","337","337","337","790423","790423","790423"
"67","342","342","342","788969.5","788969.5","788969.5"
"68","347","347","347","789379.625","789379.625","789379.625"
"69","352","352","352","788272.875","788272.875","788272.875"
"70","357","357","357","787139.875","787139.875","787139.875"
"71","362","362","362","788013.4375","788013.4375","788013.4375"
"72","367","367","367","785584.4375","785584.4375","785584.4375"
"73","372","372","372","786338.6875","786338.6875","786338.6875"
"74","377","377","377","785633","785633","785633"
"75","382","382","382","783217.125","783217.125","783217.125"
"76","387","387","387","785769.3125","785769.3125","785769.3125"
"77","392","392","392","782391.6875","782391.6875","782391.6875"
"78","397","397","397","782748.125","782748.125","782748.125"
"79","402","402","402","780983.0625","780983.0625","780983.0625"
"80","407","407","407","781273.5","781273.5","781273.5"
"81","412","412","412","780506.4375","780506.4375","780506.4375"
"82","417","417","417","779871.875","779871.875","779871.875"
"83","422","422","422","779153.4375","779153.4375","779153.4375"
"84","427","427","427","779329.9375","779329.9375","779329.9375"
"85","432","432","432","779166.375","779166.375","779166.375"
"86","437","437","437","778416.875","778416.875","778416.875"
"87","442","442","442","776822","776822","776822"
"88","447","447","447","777760.8125","777760.8125","777760.8125"
"89","452","452","452","776947.3125","776947.3125","776947.3125"
"90","457","457","457","776625.125","776625.125","776625.125"
"91","462","462","462","775361.875","775361.875","775361.875"
"92","467","467","467","775329.1875","775329.1875","775329.1875"
"93","472","472","472","774904.5625","774904.5625","774904.5625"
"94","477","477","477","772646.4375","772646.4375","772646.4375"
"95","482","482","482","774606.8125","774606.8125","774606.8125"
"96","487","487","487","771916.5625","771916.5625","771916.5625"
"97","492","492","492","773143.25","773143.25","773143.25"
"98","497","497","497","772559.9375","772559.9375","772559.9375"
"99","502","502","502","773603.3125","773603.3125","773603.3125"
"100","507","507","507","772987.8125","772987.8125","772987.8125"
"101","512","512","512","769915.8125","769915.8125","769915.8125"
"102","517","517","517","770016.9375","770016.9375","770016.9375"
"103","522","522","522","771028","771028","771028"
"104","527","527","527","769311","769311","769311"
"105","532","532","532","769164.75","769164.75","769164.75"
"106","537","537","537","769374.1875","769374.1875","769374.1875"
"107","542","542","542","768196.6875","768196.6875","768196.6875"
"108","547","547","547","767057","767057","767057"
"109","552","552","552","768160.5625","768160.5625","768160.5625"
"110","557","557","557","767471.4375","767471.4375","767471.4375"
"111","562","562","562","770069.5","770069.5","770069.5"
"112","567","567","567","766250.75","766250.75","766250.75"
"113","572","572","572","765830.3125","765830.3125","765830.3125"
"114","577","577","577","765855.625","765855.625","765855.625"
"115","582","582","582","766507","766507","766507"
"116","587","587","587","764664.8125","764664.8125","764664.8125"
"117","592","592","592","764396.8125","764396.8125","764396.8125"
"118","597","597","597","762811.8125","762811.8125","762811.8125"
"119","602","602","602","764116.6875","764116.6875","764116.6875"
"120","607","607","607","763208.9375","763208.9375","763208.9375"
"121","612","612","612","762969.5","762969.5","762969.5"
"122","617","617","617","761571.75","761571.75","761571.75"
"123","622","622","622","762767.375","762767.375","762767.375"
"124","627","627","627","761926.125","761926.125","761926.125"
"125","632","632","632","762599.75","762599.75","762599.75"
"126","637","637","637","761481.1875","761481.1875","761481.1875"
"127","642","642","642","761656.9375","761656.9375","761656.9375"
"128","647","647","647","760829.375","760829.375","760829.375"
"129","652","652","652","759630.25","759630.25","759630.25"
"130","657","657","657","759577.125","759577.125","759577.125"
"131","662","662","662","760029.5625","760029.5625","760029.5625"
"132","667","667","667","759414.1875","759414.1875","759414.1875"
"133","672","672","672","758649","758649","758649"
"134","677","677","677","758616.8125","758616.8125","758616.8125"
"135","682","682","682","759538.1875","759538.1875","759538.1875"
"136","687","687","687","757784.3125","757784.3125","757784.3125"
"137","692","692","692","756821.0625","756821.0625","756821.0625"
