epoch,11/04 09:12:51 - Standard Model - _step,11/04 09:12:51 - Standard Model - _step__MIN,11/04 09:12:51 - Standard Model - _step__MAX,11/04 09:12:51 - Standard Model - G_Adversarial,11/04 09:12:51 - Standard Model - G_Adversarial__MIN,11/04 09:12:51 - Standard Model - G_Adversarial__MAX
0,6.5,0,13,106.4915826,0.006648879,161.5762634
1,28.5,22,35,97.17338617,64.12670898,124.7669678
2,51,44,58,69.13122431,44.75805283,131.6683044
3,67.5,61,74,51.52017498,11.95400238,93.97276306
4,90,83,97,48.5824858,-0.539773583,104.1725464
5,112.5,106,119,48.26027659,-2.888365746,81.49893188
6,135,128,142,51.57927598,-7.702567101,98.80778503
7,151.5,145,158,52.86556625,-18.07938385,113.8201447
8,168,161,175,66.72101599,4.841337204,152.5173187
9,190.5,184,197,53.6158371,21.61682892,101.7909164
10,207,200,214,62.56783196,-29.30036926,134.2333221
11,223.5,217,230,65.26333226,-7.593503475,130.2947083
12,245.5,239,252,60.54076597,6.901003838,101.0054169
13,268,261,275,63.04084155,-23.85886765,134.6565094
14,290.5,284,297,68.92375898,11.64313221,145.6704102
15,313,306,320,64.38574473,-8.234609604,127.0731201
16,329.5,323,336,71.43925806,1.608257771,116.3629456
17,352,345,359,68.98911816,-3.866800785,126.8742065
18,368.5,362,375,66.18648624,-7.535009861,171.1596375
19,391,384,398,62.93311402,2.476546764,111.3260956
20,413.5,407,420,72.56317561,15.14453125,154.8055115
21,430,423,437,77.62959654,-25.84381485,165.0089722
22,452.5,446,459,76.25221593,0.713960648,130.5145721
23,475,468,482,79.11086448,-27.00131989,187.5274963
24,491.5,485,498,50.71431922,-27.15955353,128.3766022
25,507.5,501,514,56.69988951,-8.569228172,121.2063293
26,524,517,531,57.88949242,9.384529114,109.1205444
27,546.5,540,553,59.23956728,11.05575466,118.2597504
28,563,556,570,54.82457781,-32.95051956,141.8829346
29,579.5,573,586,70.95035001,-33.42172241,170.6467285
30,596,589,603,59.8065951,-35.50744629,141.4645996
31,612.5,606,619,60.93155387,-18.89446259,120.5710907
32,635,628,642,53.33071524,3.271607399,99.99301147
33,651.5,645,658,58.93486943,-14.1377182,105.6425934
34,674,667,681,61.48267895,-11.75394821,133.1671143
35,696.5,690,703,55.3512555,-44.64879608,121.335144
36,719,712,726,65.56619552,-9.44124794,146.4267426
37,741.5,735,748,48.36710283,-10.49685192,101.9615707
38,757.5,751,764,58.43065521,8.485109329,95.85626221
39,780,773,787,51.84498011,-37.93495941,96.53826141
40,802.5,796,809,54.14951856,-11.15206337,118.8108826
41,819,812,826,56.63106925,-21.65574455,135.0658569
42,841.5,835,848,71.27348069,-10.20519066,139.2070923
43,864,857,871,52.90345106,-7.84958744,112.8821259
44,886.5,880,893,80.70972599,-50.82949448,181.9033203
45,909,902,916,60.84865004,-16.75855255,129.6734924
46,931.5,925,938,62.64514944,-16.96711349,144.044632
47,948,941,955,74.9495602,-29.32556152,134.4660339
48,970.5,964,977,57.93587075,-56.18549347,150.3073425
49,993,986,1000,62.44733162,-30.55281448,131.5380859
50,1015.5,1009,1022,63.37317743,-43.15021896,172.269455
51,1031.5,1025,1038,62.83063221,-23.18527031,114.1258926
52,1054,1047,1061,48.44018437,-25.28419113,120.2688065
53,1076.5,1070,1083,52.57100358,-54.54571533,136.6011505
54,1099,1092,1106,55.12007476,-68.24956512,145.4788971
55,1115.5,1109,1122,47.2761566,-59.36711884,143.9255219
56,1138,1131,1145,68.80026569,-27.28994942,153.9677124
57,1154.5,1148,1161,58.2894408,-33.13858795,130.5149536
58,1171,1164,1178,40.40948682,-39.63109589,105.8552094
59,1193.5,1187,1200,67.81088843,-43.91268158,139.2967224
60,1210,1203,1217,57.4920602,-10.22961903,143.10672
61,1232.5,1226,1239,58.05191244,8.061218262,117.4093323
62,1254.5,1248,1261,64.40064853,-26.90946198,124.2764435
63,1271,1264,1278,56.75772336,-21.19011688,124.9226532
64,1293.5,1287,1300,69.89486647,10.4199152,129.7216492
65,1316,1309,1323,66.19695358,27.97731209,101.1532364
66,1338.5,1332,1345,63.63654453,4.465779781,121.8328705
67,1355,1348,1362,52.00117671,-36.04120636,122.1964874
68,1377.5,1371,1384,61.02361323,-2.574419975,146.6099091
69,1400,1393,1407,64.02298272,-11.63487816,145.1573486
70,1416.5,1410,1423,65.64013324,-2.938547373,123.3255386
71,1433,1426,1440,66.61660182,-40.19120407,158.6175385
72,1455.5,1449,1462,68.99862458,-8.939469337,146.0187988
73,1472,1465,1479,62.7347669,1.612943769,127.8060608
74,1494.5,1488,1501,77.55776848,-15.62512207,149.4764557
75,1516.5,1510,1523,62.13598539,-15.48868942,145.7063904
76,1539,1532,1546,75.62908656,11.87456894,141.0502319
77,1555.5,1549,1562,70.55100632,2.607625961,144.4236145
78,1578,1571,1585,72.39258245,-19.13291168,130.9345398
79,1594.5,1588,1601,73.22914028,9.794101715,139.15625
80,1617,1610,1624,72.25123819,-18.56632996,148.8345337
81,1639.5,1633,1646,78.01427596,5.777256012,145.9569092
82,1662,1655,1669,71.80148036,-34.65146637,170.436554
83,1684.5,1678,1691,86.21664878,-8.519350052,192.3558044
84,1707,1700,1714,70.5959823,14.37010098,118.8022156
85,1723.5,1717,1730,73.30602319,15.71596527,118.2312393
86,1740,1733,1747,76.23154017,13.54844666,122.7290649
87,1756.5,1750,1763,75.33412583,2.840693712,174.1300507
88,1778.5,1772,1785,75.0395047,-1.379321575,143.2954102
89,1801,1794,1808,79.72879523,-3.817071199,159.7563171
90,1817.5,1811,1824,87.82198007,21.17393875,152.974884
91,1840,1833,1847,73.41150322,9.865119934,118.1467896
92,1856.5,1850,1863,91.65117077,-0.180678725,177.9788513
93,1873,1866,1880,86.83203519,11.47425652,158.7280121
94,1895.5,1889,1902,78.55212934,6.651018143,143.9528351
95,1918,1911,1925,84.10627136,21.26896286,152.5522308
96,1940.5,1934,1947,85.65573815,10.69268608,149.0587006
97,1963,1956,1970,79.32711875,-0.492201805,140.1247253
98,1985.5,1979,1992,76.13250547,2.230429411,153.1779175
99,2008,2001,2015,85.70470594,19.45218086,135.7622375
100,2024.5,2018,2031,81.28715706,41.4052887,110.2136383
101,2046.5,2040,2053,91.87169416,17.62228394,138.7419281
102,2063,2056,2070,83.14935659,26.66965485,165.5671692
103,2085.5,2079,2092,75.66013786,6.0085392,169.8278656
104,2108,2101,2115,92.87942251,-1.342074394,174.9976807
105,2124.5,2118,2131,82.92830685,19.17487335,146.0811768
106,2141,2134,2148,90.75925484,10.49918175,152.3176727
107,2163.5,2157,2170,83.10020542,23.81792259,145.5889282
108,2186,2179,2193,89.97414896,-1.271774054,175.2693176
109,2208.5,2202,2215,75.72997965,42.23394012,134.4028168
110,2231,2224,2238,93.38809636,24.35285187,154.953186
111,2253.5,2247,2260,86.93486622,44.84358215,148.7539368
112,2269.5,2263,2276,84.40597228,4.23647213,158.4493408
113,2292,2285,2299,100.8467893,-12.25145912,180.0812378
114,2314.5,2308,2321,79.4204043,18.86554909,154.6291504
115,2337,2330,2344,93.28004761,26.75906754,165.3598938
116,2353.5,2347,2360,88.52254622,14.52634621,169.1802216
117,2376,2369,2383,98.67892176,58.41863632,151.6936646
118,2398.5,2392,2405,96.65796307,5.216966629,158.0578156
119,2415,2408,2422,94.57847544,46.27836609,146.6541138
120,2437.5,2431,2444,88.45596804,11.60821152,185.7774658
121,2460,2453,2467,100.9649797,23.67731857,162.1537781
122,2476.5,2470,2483,88.20008632,20.57277679,169.1966553
123,2499,2492,2506,110.6354031,-0.441232502,183.3629913
124,2521.5,2515,2528,90.26629273,-1.949653268,184.1139679
125,2543.5,2537,2550,94.86179944,-1.666871071,209.6383362
126,2566,2559,2573,111.7162432,8.776557922,218.7389679
127,2582.5,2576,2589,105.8861136,22.14484787,170.4455566
128,2599,2592,2606,116.7060265,17.25071335,195.4128418
129,2621.5,2615,2628,97.41054133,11.60741138,177.1851501
130,2638,2631,2645,97.28773905,35.14892197,172.3152618
131,2660.5,2654,2667,107.7786443,62.05211258,157.8326416
132,2677,2670,2684,109.0578777,30.11084557,161.7123871
133,2699.5,2693,2706,101.7859876,50.31657028,182.1182556
134,2722,2715,2729,92.83320885,8.694673538,153.4529114
135,2738.5,2732,2745,99.41347122,39.20135498,173.0140991
136,2761,2754,2768,100.936633,35.62880707,149.0767365
137,2777.5,2771,2784,93.0068762,11.33856297,170.1768036
138,2799.5,2793,2806,98.91668156,44.06855011,151.2605286
139,2816,2809,2823,93.53478216,27.39987183,150.6445923
140,2838.5,2832,2845,97.1236233,-8.01456356,159.6701355
141,2855,2848,2862,113.7084058,32.63466644,207.3224487
142,2877.5,2871,2884,109.1014293,53.13449478,156.1265564
143,2894,2887,2901,105.4843786,54.60741425,149.2457123
144,2916.5,2910,2923,113.5057727,57.45783234,156.1984711
145,2939,2932,2946,114.0004506,81.79329681,154.463913
146,2961.5,2955,2968,104.6775905,43.18675232,166.6759033
147,2984,2977,2991,113.8333964,33.32813644,174.2036438
148,3000.5,2994,3007,103.2928257,45.53456879,163.3212738
149,3023,3016,3030,104.7706512,31.07406616,180.7445068
150,3045.5,3039,3052,109.7599585,46.41673279,155.1291809
151,3061.5,3055,3068,109.6196297,61.96854782,150.2972107
152,3078,3071,3085,101.6005351,32.08781433,168.1079254
153,3094.5,3088,3101,106.3350612,33.06404877,184.6210785
154,3111,3104,3118,114.4400998,52.13759232,157.2973633
155,3127.5,3121,3134,111.2955472,49.78190994,180.5907288
156,3150,3143,3157,112.5400637,63.55216599,164.8361053
157,3166.5,3160,3173,104.6667107,43.59865189,167.4093323
158,3183,3176,3190,111.2298169,50.77654266,180.3594971
159,3199.5,3193,3206,97.41255978,57.06617355,142.1998749
160,3222,3215,3229,98.95873235,47.38772202,154.7114258
161,3244.5,3238,3251,91.97228295,55.72618866,120.4017639
162,3260.5,3254,3267,95.38293648,25.76145172,167.5957642
163,3283,3276,3290,106.7260447,13.69203186,167.0744019
164,3299.5,3293,3306,106.5763939,17.32744217,193.7495117
165,3322,3315,3329,101.9017268,18.5296402,192.3238373
166,3344.5,3338,3351,105.6391741,52.94835663,150.552887
167,3367,3360,3374,111.8740417,63.70432281,149.6620789
168,3383.5,3377,3390,120.8719646,58.84661102,192.2087402
169,3400,3393,3407,97.79274966,29.99096107,179.9598541
170,3422.5,3416,3429,109.6489994,54.2488327,168.9790649
171,3439,3432,3446,103.4131271,45.5419693,190.1865692
172,3461.5,3455,3468,112.8905792,71.70879364,166.486145
173,3478,3471,3485,116.1210383,97.3591156,140.1854248
174,3494.5,3488,3501,109.4887837,57.00543976,146.3924561
175,3510.5,3504,3517,105.6167872,56.25590515,160.600647
176,3533,3526,3540,118.4396729,77.0612793,168.6860809
177,3549.5,3543,3556,103.8026532,80.23799133,140.8445129
178,3566,3559,3573,110.2897199,61.11944962,150.2090454
179,3588.5,3582,3595,96.880079,66.88977051,115.620163
180,3611,3604,3618,115.3726262,62.45709229,178.6249542
181,3627.5,3621,3634,101.4721631,48.20902252,160.5614319
182,3650,3643,3657,110.9212143,77.13012695,139.8375092
183,3672.5,3666,3679,123.7871165,83.08193207,203.6257629
184,3695,3688,3702,113.0943242,65.3562088,143.5484009
185,3711.5,3705,3718,117.7867448,53.40202332,163.0128784
186,3734,3727,3741,110.3065908,39.70378113,184.4421997
187,3756.5,3750,3763,115.6830172,87.0790863,144.2036591
188,3772.5,3766,3779,107.8942495,64.83279419,149.7740021
189,3795,3788,3802,110.2281708,30.73065186,176.779007
190,3817.5,3811,3824,103.9770884,32.26514435,168.625
191,3840,3833,3847,118.720421,26.504282,174.6617584
192,3856.5,3850,3863,108.5105598,11.58623028,177.8760986
193,3873,3866,3880,107.8190839,47.56557465,146.3177795
194,3895.5,3889,3902,118.3604954,65.68942261,171.2323151
195,3912,3905,3919,110.1789459,69.44534302,145.9165802
196,3928.5,3922,3935,101.703525,75.20555115,146.826828
197,3945,3938,3952,100.6281751,51.78673172,136.0989685
198,3961.5,3955,3968,102.532656,34.74968719,187.09198
199,3978,3971,3985,112.173829,22.66379929,190.5538025
200,4000.5,3994,4007,101.2434319,59.53539276,152.5953369
201,4022.5,4016,4029,105.5220201,80.46994019,144.5627441
202,4045,4038,4052,110.6608927,63.074646,147.849762
203,4061.5,4055,4068,109.793663,90.6962204,136.125946
204,4078,4071,4085,107.7423793,59.06546021,150.3162079
205,4100.5,4094,4107,106.5595491,57.1178894,155.6739044
206,4123,4116,4130,112.1202443,53.128685,175.0080872
207,4145.5,4139,4152,116.7501586,48.61117554,166.7467346
208,4162,4155,4169,109.0932706,45.39992142,172.9606628
209,4184.5,4178,4191,113.1808292,38.46874237,193.8725281
210,4201,4194,4208,119.3379481,66.65393829,180.8475647
211,4217.5,4211,4224,112.6961286,9.642969131,205.4086914
212,4233.5,4227,4240,114.5916571,20.58559418,191.8128052
213,4256,4249,4263,122.1730286,81.5759964,154.2338257
214,4272.5,4266,4279,113.0941364,88.88824463,145.7219238
215,4289,4282,4296,122.1456187,68.66926575,187.3172455
216,4305.5,4299,4312,114.6890564,70.75769043,149.1539612
217,4322,4315,4329,114.1554947,54.23664856,194.821991
218,4338.5,4332,4345,113.5004169,54.29290009,158.3834839
219,4361,4354,4368,103.2430844,7.761111259,176.8525696
220,4383.5,4377,4390,105.6099292,42.5404129,169.237915
221,4400,4393,4407,100.8939163,85.87385559,139.0296021
222,4416.5,4410,4423,109.4229919,62.7179184,144.8304749
223,4439,4432,4446,109.580927,46.88018417,174.5766602
224,4455.5,4449,4462,102.9650002,49.30340195,164.2970886
225,4471.5,4465,4478,103.5260247,38.51954651,174.2990112
226,4488,4481,4495,99.90483615,22.82705498,150.8420105
227,4510.5,4504,4517,113.9858334,9.505937576,177.2537231
228,4533,4526,4540,96.29773687,38.00773621,171.3550568
229,4549.5,4543,4556,111.9966687,50.33802032,153.2110443
230,4572,4565,4579,110.4344371,64.12843323,143.9441223
231,4588.5,4582,4595,110.2663224,22.18995476,166.2479095
232,4605,4598,4612,111.1133046,23.01173401,175.9020691
233,4627.5,4621,4634,109.7011419,43.2826767,172.2144165
234,4650,4643,4657,104.7734482,25.82461166,166.3297729
235,4666.5,4660,4673,105.9162919,59.62097168,164.9354401
236,4683,4676,4690,99.61813202,46.72856903,151.9860535
237,4705.5,4699,4712,99.20657485,57.69891739,141.4580841
238,4727.5,4721,4734,113.8890359,96.59634399,150.039566
239,4744,4737,4751,118.5689898,46.9678688,160.8625183
240,4760.5,4754,4767,113.3765793,54.6151123,176.3075867
241,4783,4776,4790,114.6780787,39.64184189,185.6482239
242,4805.5,4799,4812,114.1230433,54.299263,191.3765106
243,4822,4815,4829,113.2056056,56.316185,143.6326447
244,4844.5,4838,4851,111.8029837,34.83493423,172.8770905
245,4867,4860,4874,112.2370989,61.42356491,159.9005737
246,4883.5,4877,4890,115.4659211,63.9967804,153.3342896
247,4906,4899,4913,106.5574285,54.65328217,174.0041199
248,4922.5,4916,4929,118.4861483,61.24803162,160.065506
249,4945,4938,4952,106.7887353,23.97495842,181.6954041
250,4961.5,4955,4968,120.7870922,38.1640358,195.2114258
251,4977.5,4971,4984,119.7919399,55.91520691,172.7846222
252,5000,4993,5007,117.6175854,13.37375069,230.7166138
253,5016.5,5010,5023,115.7747173,44.31570435,157.2961121
254,5033,5026,5040,121.7907939,81.11188507,150.9108734
255,5049.5,5043,5056,122.9984098,75.04623413,155.3659363
256,5072,5065,5079,132.011467,86.63542175,180.0693665
257,5094.5,5088,5101,122.3575063,91.5725708,157.9156494
258,5111,5104,5118,123.0108281,95.83482361,145.879303
259,5127.5,5121,5134,124.8595483,98.37372589,147.3096313
260,5150,5143,5157,126.7554998,78.7532196,171.1797485
261,5172.5,5166,5179,129.905407,103.6344986,162.1068726
262,5194.5,5188,5201,126.8162133,96.35507202,158.980072
263,5211,5204,5218,113.5653112,45.30176544,183.5522156
264,5227.5,5221,5234,135.3886474,51.12505341,214.6860809
265,5250,5243,5257,124.4559326,85.43754578,161.587677
266,5266.5,5260,5273,131.5670874,93.43185425,175.0023956
267,5283,5276,5290,131.2565653,65.46547699,183.606781
268,5305.5,5299,5312,132.4745222,79.07199097,202.169632
269,5322,5315,5329,133.9638079,60.8038826,180.1689453
270,5338.5,5332,5345,130.1147657,75.89053345,175.9518127
271,5361,5354,5368,127.075174,78.37554932,172.6721191
272,5383.5,5377,5390,110.3935263,72.16944122,161.2962646
273,5406,5399,5413,99.36703517,33.1147728,160.9520264
274,5428.5,5422,5435,114.7162323,31.82732773,183.0837555
275,5444.5,5438,5451,121.4336052,67.73182678,161.6712341
276,5467,5460,5474,126.3898384,55.93393326,185.4727631
277,5483.5,5477,5490,117.6887242,46.66604996,163.6992493
278,5506,5499,5513,126.8762586,42.6282959,204.2884979
279,5522.5,5516,5529,116.7764427,33.03150177,188.3082275
280,5539,5532,5546,124.4063062,36.09556961,201.8360291
281,5555.5,5549,5562,120.6776597,51.65975189,178.315155
282,5578,5571,5585,124.8300212,72.44880676,182.7833252
283,5594.5,5588,5601,133.5842389,105.1347351,164.7964935
284,5617,5610,5624,133.5768987,99.67514038,176.7626343
285,5639.5,5633,5646,129.0126403,86.89770508,191.5849457
286,5662,5655,5669,134.8665802,80.66375732,177.7173157
287,5678.5,5672,5685,126.6339163,35.10625458,202.2737122
288,5694.5,5688,5701,133.3322656,43.16714478,221.382782
289,5717,5710,5724,125.4652059,60.05257416,187.9205017
290,5739.5,5733,5746,131.3908326,71.72895813,177.3704224
291,5762,5755,5769,128.4123667,106.3816147,147.6616211
292,5784.5,5778,5791,121.8443745,72.06637573,145.8134613
293,5807,5800,5814,124.7169497,41.39634323,184.6321564
294,5823.5,5817,5830,126.3828558,62.96052933,219.3213196
295,5846,5839,5853,134.527121,66.41693878,198.0052032
296,5862.5,5856,5869,137.5163612,107.1618805,197.1443329
297,5879,5872,5886,129.8143702,91.71479034,165.1349792
298,5895.5,5889,5902,138.8241332,75.14413452,196.2185364
299,5912,5905,5919,132.8242393,9.386089325,205.4197083
300,5934.5,5928,5941,132.0056071,60.787117,197.2879944
301,5950.5,5944,5957,139.3971318,70.97776031,194.5580597
302,5973,5966,5980,135.5204564,58.05498505,193.2547607
303,5995.5,5989,6002,129.2724288,65.16564178,176.3834534
