epoch,12/04 12:57:12 Standard Model (continued384) - _step,12/04 12:57:12 Standard Model (continued384) - _step__MIN,12/04 12:57:12 Standard Model (continued384) - _step__MAX,12/04 12:57:12 Standard Model (continued384) - G_Loss,12/04 12:57:12 Standard Model (continued384) - G_Loss__MIN,12/04 12:57:12 Standard Model (continued384) - G_Loss__MAX
0,6.5,0,13,119.6502833,15.24800777,173.3450928
1,28.5,22,35,107.9808562,75.88173676,136.8925323
2,51,44,58,79.70157166,53.57666016,143.9570465
3,67.5,61,74,61.50995255,23.73937607,105.8593369
4,90,83,97,58.3654707,8.481245041,115.1115265
5,112.5,106,119,58.39240217,7.713574409,93.47613525
6,135,128,142,61.21219336,3.196507454,109.789772
7,151.5,145,158,62.5501491,-6.058763504,122.4070282
8,168,161,175,76.70676778,12.55770683,164.4619293
9,190.5,184,197,64.13000597,31.44597626,112.2092209
10,207,200,214,72.95190013,-19.37059212,145.8705139
11,223.5,217,230,75.11549871,1.137634754,138.5650635
12,245.5,239,252,71.0355696,17.51184082,109.5624466
13,268,261,275,73.13409799,-12.91518307,144.1970367
14,290.5,284,297,78.99067307,21.22228622,154.7614288
15,313,306,320,74.84635143,1.026036263,138.1198578
16,329.5,323,336,81.7949479,12.46715355,126.2228241
17,352,345,359,79.14796273,7.715553761,138.8787842
18,368.5,362,375,77.02223005,4.092815876,180.8235931
19,391,384,398,73.5719003,16.16243935,120.6751404
20,413.5,407,420,82.69276251,24.84558678,162.6899414
21,430,423,437,87.94837341,-13.09054852,177.0319977
22,452.5,446,459,86.63952412,12.48726559,139.4438934
23,475,468,482,89.92204631,-17.58525276,202.1170502
24,491.5,485,498,60.54722275,-16.17404175,137.8088074
25,507.5,501,514,67.54803569,-0.783558846,131.5941315
26,524,517,531,67.99550209,22.97782135,118.6500854
27,546.5,540,553,70.29504694,22.57889557,128.7695923
28,563,556,570,64.56874603,-20.0078125,152.9231873
29,579.5,573,586,80.92991189,-22.57679749,180.4919128
30,596,589,603,69.44746221,-25.68316269,150.6852112
31,612.5,606,619,70.56563725,-10.96521473,131.0749359
32,635,628,642,63.62436206,15.62419701,109.6679382
33,651.5,645,658,68.85189956,-0.491279602,115.9860687
34,674,667,681,71.36257591,-0.682733536,145.1780853
35,696.5,690,703,64.57690634,-35.53923035,130.1659698
36,719,712,726,76.29763734,2.67282486,156.9408875
37,741.5,735,748,58.08857775,-1.376455307,111.5979538
38,757.5,751,764,68.19839818,18.21820831,105.2853394
39,780,773,787,61.50806834,-29.60559464,109.3762054
40,802.5,796,809,64.44240672,-2.222031593,128.8220215
41,819,812,826,67.28485336,-11.32065678,146.5644684
42,841.5,835,848,81.56798036,3.57979393,151.010437
43,864,857,871,63.03091539,2.421929359,123.7838898
44,886.5,880,893,90.24529593,-40.49594498,192.4359131
45,909,902,916,70.53922532,-7.035377502,137.1646271
46,931.5,925,938,72.64608806,-5.222746849,153.7729034
47,948,941,955,84.82521019,-19.40256882,144.1849823
48,970.5,964,977,67.7434001,-45.94128418,160.6435547
49,993,986,1000,72.21298122,-21.53214264,141.9442291
50,1015.5,1009,1022,73.18088,-32.88341904,181.7314453
51,1031.5,1025,1038,73.03805637,-13.18887901,122.7860565
52,1054,1047,1061,59.12135547,-15.68089867,131.4454041
53,1076.5,1070,1083,62.59597387,-44.30376053,145.5883179
54,1099,1092,1106,65.55895367,-56.3639183,155.2650299
55,1115.5,1109,1122,57.63055645,-47.92361069,152.6996307
56,1138,1131,1145,78.68539677,-16.84116173,164.1729889
57,1154.5,1148,1161,68.76686566,-20.67709732,140.82724
58,1171,1164,1178,50.32097718,-28.31069183,116.9668579
59,1193.5,1187,1200,77.83934184,-33.59651947,151.2592926
60,1210,1203,1217,67.8096029,-1.457232475,155.2949524
61,1232.5,1226,1239,68.12221759,19.18319702,128.793396
62,1254.5,1248,1261,74.43645736,-15.83792686,133.4585419
63,1271,1264,1278,66.47706146,-13.7969532,137.2336578
64,1293.5,1287,1300,80.08407239,21.61232376,140.942688
65,1316,1309,1323,76.04669876,40.40194321,110.3527756
66,1338.5,1332,1345,73.24078682,13.81865311,130.522934
67,1355,1348,1362,61.89157575,-28.19807434,134.0560913
68,1377.5,1371,1384,71.46487808,6.998339653,159.5842133
69,1400,1393,1407,73.68472592,-3.276763916,157.776123
