D_clean,D_fake,D_noisy
-260.38836669921875,-284.0683898925781,-418.9095458984375
-337.54388427734375,-481.8780517578125,-645.2714233398438
-306.43878173828125,-324.76605224609375,-691.5960083007812
-372.01605224609375,-338.0030517578125,-1198.2677001953125
-244.52383422851562,-305.22735595703125,-274.99853515625
-341.77667236328125,-342.0230712890625,-483.8667297363281
-444.6703186035156,-406.2962646484375,-772.1192626953125
-337.4194030761719,-380.13482666015625,-837.950439453125
-280.2729797363281,-299.41552734375,-372.86468505859375
-269.3764343261719,-256.9787902832031,-426.50616455078125
-467.394775390625,-394.99237060546875,-849.3591918945312
-371.86065673828125,-284.836181640625,-849.8070678710938
-388.96234130859375,-399.09716796875,-487.85577392578125
-406.373291015625,-293.73248291015625,-665.0404663085938
-256.28607177734375,-285.82806396484375,-657.4508666992188
-297.94219970703125,-260.95477294921875,-809.09033203125
-385.0386657714844,-383.10394287109375,-432.2884521484375
-364.86895751953125,-264.8916015625,-469.6763916015625
-240.60064697265625,-279.3589172363281,-485.74176025390625
-444.3179016113281,-264.7080078125,-926.9002075195312
-412.68218994140625,-604.8339233398438,-535.7744140625
-247.85826110839844,-264.719482421875,-505.50604248046875
-381.09832763671875,-407.98114013671875,-885.8651123046875
-264.5699768066406,-275.794189453125,-1355.211181640625
-383.05987548828125,-284.71405029296875,-426.68035888671875
-415.2297058105469,-402.69110107421875,-677.4141235351562
-255.49716186523438,-261.64801025390625,-723.6117553710938
-431.1903381347656,-455.3304443359375,-1077.99560546875
-243.0481719970703,-260.388916015625,-389.15557861328125
-195.0315399169922,-208.16366577148438,-404.24261474609375
-457.49578857421875,-438.3980407714844,-851.1298217773438
-311.09765625,-400.27569580078125,-1017.8646850585938
-277.2235107421875,-225.9789276123047,-367.736328125
-237.18116760253906,-215.3433837890625,-480.17523193359375
-210.72264099121094,-190.72898864746094,-761.3857421875
-151.68714904785156,-150.10911560058594,-785.718994140625
-209.13661193847656,-214.6769561767578,-272.8814392089844
-311.3052978515625,-348.1838684082031,-558.6283569335938
-282.1777648925781,-309.7398376464844,-704.1093139648438
-236.036376953125,-266.368408203125,-1368.958984375
-177.7755126953125,-214.33497619628906,-326.09991455078125
-159.71250915527344,-194.64109802246094,-378.6032409667969
-237.57188415527344,-208.0719757080078,-627.3101806640625
-234.33070373535156,-251.1804962158203,-1319.85107421875
-414.8341064453125,-348.3896179199219,-533.822509765625
-206.77015686035156,-209.60655212402344,-382.2401123046875
-170.9999542236328,-189.917236328125,-663.1912231445312
-326.917236328125,-384.7198486328125,-945.9205322265625
