D_clean,D_fake,D_noisy
-290.0457763671875,-289.3177185058594,-294.393798828125
-304.57086181640625,-305.9423522949219,-312.5299072265625
-309.67724609375,-309.10675048828125,-320.43634033203125
-304.80535888671875,-311.7453308105469,-332.4742431640625
-309.96099853515625,-315.69873046875,-316.2215881347656
-318.4281311035156,-317.3974609375,-327.30548095703125
-313.7210693359375,-311.2405700683594,-328.9066162109375
-316.465576171875,-327.361328125,-363.03369140625
-303.36151123046875,-306.762939453125,-308.3331298828125
-312.5526123046875,-313.6376953125,-319.0653991699219
-321.0641784667969,-321.11328125,-342.919921875
-314.6346435546875,-311.560791015625,-338.0997009277344
-321.204833984375,-313.2747802734375,-327.006103515625
-319.6171875,-316.9314880371094,-329.54931640625
-311.6275634765625,-314.0809326171875,-329.45770263671875
-309.8973388671875,-314.66033935546875,-331.74713134765625
-317.654052734375,-314.2231750488281,-321.19073486328125
-317.97930908203125,-315.19268798828125,-325.86468505859375
-312.5629577636719,-312.6422119140625,-325.1749267578125
-310.4021911621094,-317.093994140625,-338.65606689453125
-297.9488220214844,-312.1219482421875,-303.5774841308594
-299.6480712890625,-300.29583740234375,-310.309326171875
-317.07977294921875,-317.970703125,-331.7503967285156
-304.77886962890625,-305.16253662109375,-337.1211853027344
-312.3345947265625,-313.9498291015625,-317.74432373046875
-308.35186767578125,-311.2646484375,-318.7228088378906
-309.30279541015625,-308.3176574707031,-327.906494140625
-312.7715759277344,-327.634521484375,-367.29156494140625
-299.65850830078125,-300.51544189453125,-307.88507080078125
-300.64569091796875,-301.5879821777344,-316.27813720703125
-326.0225524902344,-321.5410461425781,-346.1941833496094
-313.3004150390625,-322.3563232421875,-352.42431640625
-311.06915283203125,-308.73626708984375,-313.98175048828125
-304.85723876953125,-305.65838623046875,-314.9746398925781
-308.2240295410156,-308.19580078125,-329.87396240234375
-307.1826171875,-307.6741638183594,-333.22613525390625
-312.2852783203125,-311.7491149902344,-316.68548583984375
-304.53790283203125,-306.76934814453125,-316.2236328125
-310.67010498046875,-312.3978576660156,-330.92138671875
-293.5072326660156,-299.2708740234375,-347.11651611328125
-302.03387451171875,-301.7801208496094,-305.9345703125
-302.85723876953125,-303.92529296875,-312.1988830566406
-310.3281555175781,-309.7099304199219,-324.32781982421875
-306.512939453125,-307.8371887207031,-338.8234558105469
-306.72991943359375,-316.25128173828125,-310.76763916015625
-305.53582763671875,-305.68841552734375,-316.3561706542969
-292.69049072265625,-295.9241943359375,-327.84747314453125
-301.5022888183594,-316.246826171875,-366.90625
-304.856689453125,-304.9244384765625,-310.2681884765625
-312.1658630371094,-308.7222900390625,-323.25726318359375
-293.99029541015625,-294.9451599121094,-320.006103515625
-294.87603759765625,-304.8333740234375,-354.23193359375
-316.22137451171875,-312.95562744140625,-320.05767822265625
-311.63214111328125,-313.73529052734375,-320.4112548828125
-307.636962890625,-307.1981201171875,-326.35430908203125
-305.31866455078125,-307.3185729980469,-351.54681396484375
-302.125244140625,-305.07318115234375,-306.0718994140625
-313.6835021972656,-310.8750915527344,-323.852294921875
-305.175537109375,-304.7796936035156,-322.27764892578125
-303.539794921875,-305.5054016113281,-340.50439453125
-294.1706848144531,-292.67333984375,-297.2448425292969
-320.5469665527344,-308.15301513671875,-328.8154296875
-317.8795166015625,-314.95574951171875,-331.7705078125
-312.8492431640625,-314.76287841796875,-336.373779296875
-309.674072265625,-309.2998046875,-315.65350341796875
-305.054443359375,-304.06695556640625,-315.1712951660156
-312.5815734863281,-316.304931640625,-329.90277099609375
-305.833251953125,-310.71612548828125,-345.7461242675781
-305.811767578125,-305.57501220703125,-312.2397155761719
-302.7767639160156,-298.5318603515625,-315.6383056640625
-315.2432861328125,-317.4842529296875,-335.29638671875
-310.3477478027344,-315.7464599609375,-341.69134521484375
-300.7969970703125,-300.06634521484375,-305.6214599609375
-304.5832214355469,-303.6063232421875,-312.6423034667969
-308.1396484375,-307.17913818359375,-330.628662109375
-310.58038330078125,-310.7447204589844,-341.25579833984375
-292.0843811035156,-292.2598571777344,-300.0765380859375
-297.64276123046875,-299.58441162109375,-312.6408386230469
-307.36920166015625,-308.3753662109375,-330.02752685546875
-296.67236328125,-299.9416198730469,-338.30047607421875
-300.6475830078125,-295.6079406738281,-304.83038330078125
-306.235107421875,-305.40948486328125,-312.3403015136719
-299.108154296875,-298.0630798339844,-311.6187438964844
-314.24212646484375,-309.9682312011719,-341.83917236328125
-314.28839111328125,-314.9082336425781,-320.50872802734375
-312.98565673828125,-314.2881164550781,-318.42913818359375
-299.6944274902344,-305.5887451171875,-339.01251220703125
-301.65277099609375,-303.73260498046875,-354.1155700683594
-312.4526062011719,-309.11627197265625,-318.849853515625
-305.45709228515625,-311.0726013183594,-318.8070373535156
