"epoch","22/05 16:52:25 Finetune_12_speakers - _step","22/05 16:52:25 Finetune_12_speakers - _step__MIN","22/05 16:52:25 Finetune_12_speakers - _step__MAX","22/05 16:52:25 Finetune_12_speakers - SI-SNR","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MIN","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MAX","19/05 14:51:16 Finetune_5_speakers G - _step","19/05 14:51:16 Finetune_5_speakers G - _step__MIN","19/05 14:51:16 Finetune_5_speakers G - _step__MAX","19/05 14:51:16 Finetune_5_speakers G - SI-SNR","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MIN","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MAX","19/05 14:49:22 Finetune_3_speakers G - _step","19/05 14:49:22 Finetune_3_speakers G - _step__MIN","19/05 14:49:22 Finetune_3_speakers G - _step__MAX","19/05 14:49:22 Finetune_3_speakers G - SI-SNR","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MIN","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MAX","19/05 14:39:01 Finetune_1_speakers G - _step","19/05 14:39:01 Finetune_1_speakers G - _step__MIN","19/05 14:39:01 Finetune_1_speakers G - _step__MAX","19/05 14:39:01 Finetune_1_speakers G - SI-SNR","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MIN","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MAX"
"890","0","0","0","17.867279052734375","17.867279052734375","17.867279052734375","6","6","6","16.88197898864746","16.88197898864746","16.88197898864746","6","6","6","16.552520751953125","16.552520751953125","16.552520751953125","6","6","6","17.08980369567871","17.08980369567871","17.08980369567871"
"891","2","2","2","18.09147834777832","18.09147834777832","18.09147834777832","14","14","14","17.65566062927246","17.65566062927246","17.65566062927246","14","14","14","15.979270935058594","15.979270935058594","15.979270935058594","14","14","14","17.48958396911621","17.48958396911621","17.48958396911621"
"892","4","4","4","18.08465003967285","18.08465003967285","18.08465003967285","22","22","22","17.297027587890625","17.297027587890625","17.297027587890625","22","22","22","17.107988357543945","17.107988357543945","17.107988357543945","22","22","22","17.560930252075195","17.560930252075195","17.560930252075195"
"893","6","6","6","18.179622650146484","18.179622650146484","18.179622650146484","30","30","30","17.873186111450195","17.873186111450195","17.873186111450195","30","30","30","16.812713623046875","16.812713623046875","16.812713623046875","30","30","30","17.43880271911621","17.43880271911621","17.43880271911621"
"894","8","8","8","18.471141815185547","18.471141815185547","18.471141815185547","38","38","38","17.801599502563477","17.801599502563477","17.801599502563477","38","38","38","16.559080123901367","16.559080123901367","16.559080123901367","38","38","38","17.305952072143555","17.305952072143555","17.305952072143555"
"895","10","10","10","18.401796340942383","18.401796340942383","18.401796340942383","46","46","46","17.476730346679688","17.476730346679688","17.476730346679688","46","46","46","17.6294002532959","17.6294002532959","17.6294002532959","46","46","46","16.558225631713867","16.558225631713867","16.558225631713867"
"896","12","12","12","18.53389549255371","18.53389549255371","18.53389549255371","54","54","54","18.048381805419922","18.048381805419922","18.048381805419922","54","54","54","17.31749725341797","17.31749725341797","17.31749725341797","54","54","54","16.136634826660156","16.136634826660156","16.136634826660156"
"897","14","14","14","18.698442459106445","18.698442459106445","18.698442459106445","62","62","62","17.7493896484375","17.7493896484375","17.7493896484375","62","62","62","16.632421493530273","16.632421493530273","16.632421493530273","62","62","62","16.051191329956055","16.051191329956055","16.051191329956055"
"898","16","16","16","18.372032165527344","18.372032165527344","18.372032165527344","70","70","70","17.77285385131836","17.77285385131836","17.77285385131836","70","70","70","17.537599563598633","17.537599563598633","17.537599563598633","70","70","70","15.802857398986816","15.802857398986816","15.802857398986816"
"899","18","18","18","18.488500595092773","18.488500595092773","18.488500595092773","78","78","78","17.510526657104492","17.510526657104492","17.510526657104492","78","78","78","17.326499938964844","17.326499938964844","17.326499938964844","78","78","78","15.79385757446289","15.79385757446289","15.79385757446289"
"900","20","20","20","18.422040939331055","18.422040939331055","18.422040939331055","86","86","86","17.351076126098633","17.351076126098633","17.351076126098633","86","86","86","16.065107345581055","16.065107345581055","16.065107345581055","86","86","86","15.649517059326172","15.649517059326172","15.649517059326172"
"901","22","22","22","18.605207443237305","18.605207443237305","18.605207443237305","94","94","94","17.896495819091797","17.896495819091797","17.896495819091797","94","94","94","17.551219940185547","17.551219940185547","17.551219940185547","94","94","94","15.594282150268555","15.594282150268555","15.594282150268555"
"902","24","24","24","18.694761276245117","18.694761276245117","18.694761276245117","102","102","102","17.383922576904297","17.383922576904297","17.383922576904297","102","102","102","17.658519744873047","17.658519744873047","17.658519744873047","102","102","102","15.753324508666992","15.753324508666992","15.753324508666992"
"903","26","26","26","18.564178466796875","18.564178466796875","18.564178466796875","110","110","110","17.491844177246094","17.491844177246094","17.491844177246094","110","110","110","16.418426513671875","16.418426513671875","16.418426513671875","110","110","110","15.8472261428833","15.8472261428833","15.8472261428833"
