epoch,G_fidelity,G_adv,G_loss,D_real,D_fake,D_penalty,D_loss
0,13.15870122,106.4915826,119.6502833,-72.885142,-104.9173689,6.965432729,-25.06679387
1,10.80746896,97.17338617,107.9808562,-61.57722092,-95.98896081,7.894601618,-26.51713794
2,10.57034642,69.13122431,79.70157166,-45.85767008,-68.6802152,5.083938758,-17.73860617
3,9.989778178,51.52017498,61.50995255,-31.727483,-51.09457867,2.737355386,-16.62974027
4,9.782984797,48.5824858,58.3654707,-33.47308698,-48.21303684,2.59449017,-12.14545965
5,10.13212517,48.26027659,58.39240217,-32.91695697,-47.79844928,2.03852347,-12.84296887
6,9.632917913,51.57927598,61.21219336,-37.80053177,-51.25513647,2.299908042,-11.15469669
7,9.68458254,52.86556625,62.5501491,-39.37468433,-52.05144603,2.348818396,-10.32794331
8,9.985752233,66.72101599,76.70676778,-51.17356504,-66.03142544,2.233670676,-12.62418979
9,10.51416956,53.6158371,64.13000597,-39.18706063,-53.21665042,1.691154897,-12.3384349
10,10.38406792,62.56783196,72.95190013,-47.39579315,-62.07631887,1.889073352,-12.79145225
11,9.852165767,65.26333226,75.11549871,-54.33741914,-64.89458418,1.63402079,-8.923144153
12,10.49480319,60.54076597,71.0355696,-48.6778136,-60.11827295,1.402951155,-10.03750811
13,10.09325698,63.04084155,73.13409799,-52.8430371,-62.5649838,1.650657362,-8.071289364
14,10.06691381,68.92375898,78.99067307,-56.65165614,-68.42963164,1.357789642,-10.4201858
15,10.4606074,64.38574473,74.84635143,-53.19424292,-64.10181357,1.248070681,-9.659500114
16,10.35569014,71.43925806,81.7949479,-61.15012874,-71.0606096,1.292099587,-8.618381296
17,10.15884488,68.98911816,79.14796273,-59.1070385,-68.64465294,1.183925939,-8.353688558
18,10.83574343,66.18648624,77.02223005,-52.93268585,-65.76776549,1.353936838,-11.48114269
19,10.638786,62.93311402,73.5719003,-53.31488025,-62.52215977,1.127590044,-8.079689503
20,10.129587,72.56317561,82.69276251,-63.21465697,-72.21046788,1.176225441,-7.819585391
21,10.31877664,77.62959654,87.94837341,-66.48336194,-76.99330765,1.473634863,-9.036310784
22,10.38730792,76.25221593,86.63952412,-65.73909862,-75.78461706,1.221779344,-8.823739103
23,10.81118139,79.11086448,89.92204631,-64.97641239,-78.33735902,1.487109522,-11.87383715
