epoch,12/04 12:57:12 Standard Model (continued384) - _step,12/04 12:57:12 Standard Model (continued384) - _step__MIN,12/04 12:57:12 Standard Model (continued384) - _step__MAX,12/04 12:57:12 Standard Model (continued384) - D_Real,12/04 12:57:12 Standard Model (continued384) - D_Real__MIN,12/04 12:57:12 Standard Model (continued384) - D_Real__MAX
0,6.5,0,13,-72.885142,-107.0155792,2.820195436
1,28.5,22,35,-61.57722092,-87.3999176,-27.03147507
2,51,44,58,-45.85767008,-85.15712738,-17.14904022
3,67.5,61,74,-31.727483,-69.34594727,9.388272285
4,90,83,97,-33.47308698,-76.82777405,12.64235306
5,112.5,106,119,-32.91695697,-62.72553635,19.55893707
6,135,128,142,-37.80053177,-73.08598328,20.31948471
7,151.5,145,158,-39.37468433,-98.03291321,29.21258926
8,168,161,175,-51.17356504,-107.148407,4.85898447
9,190.5,184,197,-39.18706063,-77.25792694,-8.205817223
10,207,200,214,-47.39579315,-104.8564301,47.02133179
11,223.5,217,230,-54.33741914,-113.0477982,19.19236374
12,245.5,239,252,-48.6778136,-94.7313385,2.687674522
13,268,261,275,-52.8430371,-120.2754898,34.73345184
14,290.5,284,297,-56.65165614,-134.4118958,-1.503450274
15,313,306,320,-53.19424292,-107.9423981,18.66786194
16,329.5,323,336,-61.15012874,-111.6265259,6.936750889
17,352,345,359,-59.1070385,-115.0119553,13.1124239
18,368.5,362,375,-52.93268585,-150.7820435,18.25262642
19,391,384,398,-53.31488025,-101.7689667,7.394192696
20,413.5,407,420,-63.21465697,-147.4679871,-9.073513031
21,430,423,437,-66.48336194,-147.6311951,37.8132515
22,452.5,446,459,-65.73909862,-120.2794189,14.57541752
23,475,468,482,-64.97641239,-151.0098114,36.4349556
24,491.5,485,498,-40.2162712,-113.7062454,37.15110016
25,507.5,501,514,-44.18069124,-105.9615631,17.08561897
26,524,517,531,-44.71604837,-89.5008316,6.68805027
27,546.5,540,553,-44.6411696,-101.3794556,4.038729191
28,563,556,570,-43.61544456,-118.9921417,44.19264603
29,579.5,573,586,-57.32415989,-150.7844238,42.79702759
30,596,589,603,-47.4863033,-125.4927521,50.74317932
31,612.5,606,619,-50.65391816,-103.2928162,27.1017952
32,635,628,642,-41.11919861,-88.11504364,8.371824265
33,651.5,645,658,-46.64159788,-94.80723572,25.52908325
34,674,667,681,-48.32094034,-107.6512299,25.85877609
35,696.5,690,703,-44.20654668,-110.7087555,56.16763687
36,719,712,726,-51.58529243,-135.161087,21.17040634
37,741.5,735,748,-37.71949009,-88.07543182,18.99681854
38,757.5,751,764,-48.67349946,-84.0322876,0.889545083
39,780,773,787,-41.91259492,-86.1379776,43.98471832
40,802.5,796,809,-42.76110213,-100.3630219,20.7963829
41,819,812,826,-42.97105427,-116.6700058,32.44430542
42,841.5,835,848,-59.51487964,-125.5633774,26.52001572
43,864,857,871,-42.49530195,-98.50387573,16.80666351
44,886.5,880,893,-69.24775818,-167.6319427,63.14411163
45,909,902,916,-50.41537541,-121.1177826,28.13645935
46,931.5,925,938,-51.31455154,-129.5877228,31.44349289
47,948,941,955,-62.99570057,-118.2683411,41.51069641
48,970.5,964,977,-46.47150115,-134.5610046,67.76092529
49,993,986,1000,-51.94107148,-118.3230133,41.38805389
50,1015.5,1009,1022,-51.95348208,-154.5053101,54.39002991
51,1031.5,1025,1038,-49.75049455,-92.05198669,35.48767853
52,1054,1047,1061,-35.83265262,-101.3797302,35.75325394
53,1076.5,1070,1083,-40.65570886,-123.3494339,63.6622963
54,1099,1092,1106,-41.3001845,-130.6764984,84.39537811
55,1115.5,1109,1122,-35.18493734,-136.3186646,71.42089844
56,1138,1131,1145,-56.12065353,-136.5810852,40.56144333
57,1154.5,1148,1161,-44.27019436,-119.1522675,46.78410339
58,1171,1164,1178,-29.65072476,-92.9593811,51.08755493
59,1193.5,1187,1200,-56.75476463,-131.8806152,58.78325653
60,1210,1203,1217,-45.25072727,-116.0533295,19.28694153
61,1232.5,1226,1239,-47.38996273,-104.0171051,6.370425701
62,1254.5,1248,1261,-53.46559198,-113.4535065,37.97688293
63,1271,1264,1278,-46.1690066,-110.25354,30.99853897
64,1293.5,1287,1300,-57.72013728,-113.7491302,-0.933892131
65,1316,1309,1323,-57.02160288,-91.7355957,-15.01849747
66,1338.5,1332,1345,-53.75661602,-109.6855316,5.220743656
67,1355,1348,1362,-40.95591448,-105.3708954,45.39847565
68,1377.5,1371,1384,-49.6253296,-127.9544067,14.63243675
69,1400,1393,1407,-52.10033154,-128.9619904,19.62774658
70,1416.5,1410,1423,-54.36085871,-110.6486969,13.67108154
71,1433,1426,1440,-54.93418121,-140.2884827,54.62889862
72,1455.5,1449,1462,-56.39527665,-129.335022,24.15210342
