SI-SNR,DNSMOS,MOS Squim,eSTOI,PESQ,PESQ Torch,STOI pred,PESQ pred,SI-SDR pred
Mean scores
0.0,2.982284,0.0,0.0,0.0,0.0,nan,nan,nan
Standard errors of the means
0.0,0.009954352898655174,0.0,0.0,0.0,0.0,nan,nan,nan
All Scores
0,2.8442273,0,0,0,0,0,0,0
0,2.66452,0,0,0,0,0,0,0
0,3.3186548,0,0,0,0,0,0,0
0,3.4578838,0,0,0,0,0,0,0
0,2.8702667,0,0,0,0,0,0,0
0,2.712712,0,0,0,0,0,0,0
0,2.9971697,0,0,0,0,0,0,0
0,3.185325,0,0,0,0,0,0,0
0,2.7765727,0,0,0,0,0,0,0
0,3.2925167,0,0,0,0,0,0,0
0,3.3225229,0,0,0,0,0,0,0
0,2.4928722,0,0,0,0,0,0,0
0,3.1075234,0,0,0,0,0,0,0
0,3.3075936,0,0,0,0,0,0,0
0,3.0248928,0,0,0,0,0,0,0
0,2.76961,0,0,0,0,0,0,0
0,3.4224172,0,0,0,0,0,0,0
0,2.8840945,0,0,0,0,0,0,0
0,2.5307362,0,0,0,0,0,0,0
0,2.4926355,0,0,0,0,0,0,0
0,3.4760337,0,0,0,0,0,0,0
0,2.8569348,0,0,0,0,0,0,0
0,2.9466383,0,0,0,0,0,0,0
0,2.8474872,0,0,0,0,0,0,0
0,2.6646383,0,0,0,0,0,0,0
0,2.7105658,0,0,0,0,0,0,0
0,2.525468,0,0,0,0,0,0,0
0,2.9767864,0,0,0,0,0,0,0
0,3.2601986,0,0,0,0,0,0,0
0,2.616255,0,0,0,0,0,0,0
0,3.0557086,0,0,0,0,0,0,0
0,3.133908,0,0,0,0,0,0,0
0,3.301584,0,0,0,0,0,0,0
0,2.6375024,0,0,0,0,0,0,0
0,3.0220666,0,0,0,0,0,0,0
0,2.8934045,0,0,0,0,0,0,0
0,3.1298738,0,0,0,0,0,0,0
0,3.4863677,0,0,0,0,0,0,0
0,3.071142,0,0,0,0,0,0,0
0,3.0966935,0,0,0,0,0,0,0
0,2.6848052,0,0,0,0,0,0,0
0,3.0552576,0,0,0,0,0,0,0
0,2.6537683,0,0,0,0,0,0,0
0,3.4497488,0,0,0,0,0,0,0
0,2.9459145,0,0,0,0,0,0,0
0,2.9302032,0,0,0,0,0,0,0
0,2.9146156,0,0,0,0,0,0,0
0,3.4575565,0,0,0,0,0,0,0
0,2.9185405,0,0,0,0,0,0,0
0,2.820251,0,0,0,0,0,0,0
0,3.0792499,0,0,0,0,0,0,0
0,2.850731,0,0,0,0,0,0,0
0,2.840956,0,0,0,0,0,0,0
0,3.5399654,0,0,0,0,0,0,0
0,3.1995494,0,0,0,0,0,0,0
0,2.8251045,0,0,0,0,0,0,0
0,2.5375233,0,0,0,0,0,0,0
0,2.954462,0,0,0,0,0,0,0
0,3.0754013,0,0,0,0,0,0,0
0,2.4958766,0,0,0,0,0,0,0
0,2.7568424,0,0,0,0,0,0,0
0,3.02039,0,0,0,0,0,0,0
0,3.0570903,0,0,0,0,0,0,0
0,2.7769163,0,0,0,0,0,0,0
0,3.3622658,0,0,0,0,0,0,0
0,2.2367556,0,0,0,0,0,0,0
0,2.901303,0,0,0,0,0,0,0
0,2.7603767,0,0,0,0,0,0,0
0,3.0774271,0,0,0,0,0,0,0
0,3.3281713,0,0,0,0,0,0,0
0,2.8320155,0,0,0,0,0,0,0
0,2.9003413,0,0,0,0,0,0,0
0,3.383448,0,0,0,0,0,0,0
0,2.7459798,0,0,0,0,0,0,0
0,3.4816706,0,0,0,0,0,0,0
0,2.9797802,0,0,0,0,0,0,0
0,3.106674,0,0,0,0,0,0,0
0,2.8169572,0,0,0,0,0,0,0
0,3.2537713,0,0,0,0,0,0,0
0,2.7196906,0,0,0,0,0,0,0
0,3.2898488,0,0,0,0,0,0,0
0,2.521501,0,0,0,0,0,0,0
0,2.8298194,0,0,0,0,0,0,0
0,3.360394,0,0,0,0,0,0,0
0,2.9575899,0,0,0,0,0,0,0
