epoch,12/04 12:57:12 Standard Model (continued384) - _step,12/04 12:57:12 Standard Model (continued384) - _step__MIN,12/04 12:57:12 Standard Model (continued384) - _step__MAX,12/04 12:57:12 Standard Model (continued384) - G_Fidelity,12/04 12:57:12 Standard Model (continued384) - G_Fidelity__MIN,12/04 12:57:12 Standard Model (continued384) - G_Fidelity__MAX
0,6.5,0,13,13.15870122,10.16629028,19.75334358
1,28.5,22,35,10.80746896,8.162031174,12.24908066
2,51,44,58,10.57034642,7.609426975,12.66472816
3,67.5,61,74,9.989778178,7.753359795,11.88657188
4,90,83,97,9.782984797,8.060293198,12.48762989
5,112.5,106,119,10.13212517,8.708755493,12.55412292
6,135,128,142,9.632917913,7.686282158,10.98198891
7,151.5,145,158,9.68458254,7.560255527,13.48715878
8,168,161,175,9.985752233,7.716369629,12.78104687
9,190.5,184,197,10.51416956,8.453639984,12.40328026
10,207,200,214,10.38406792,7.978572845,12.42184067
11,223.5,217,230,9.852165767,7.671185493,12.48115158
12,245.5,239,252,10.49480319,7.334845066,12.83108521
13,268,261,275,10.09325698,7.130110264,13.43165302
14,290.5,284,297,10.06691381,7.979166985,12.91523743
15,313,306,320,10.4606074,7.783130646,13.77820015
16,329.5,323,336,10.35569014,8.384780884,11.61979866
17,352,345,359,10.15884488,8.319010735,12.37993431
18,368.5,362,375,10.83574343,9.002363205,13.19158363
19,391,384,398,10.638786,7.842173576,13.68589306
20,413.5,407,420,10.129587,6.674966335,13.938941
21,430,423,437,10.31877664,8.710846901,13.12664986
22,452.5,446,459,10.38730792,8.929327965,12.11261177
23,475,468,482,10.81118139,8.17740345,14.58955669
24,491.5,485,498,9.832903658,7.703514099,12.727211
25,507.5,501,514,10.84814664,7.785669327,13.4561882
26,524,517,531,10.10600977,7.716689587,13.59329319
27,546.5,540,553,11.05547885,8.557086945,13.32802391
28,563,556,570,9.74416879,6.918944836,12.94270706
29,579.5,573,586,9.979562487,8.644518852,11.94848633
30,596,589,603,9.640867996,8.144424438,12.32429981
31,612.5,606,619,9.634084225,6.30469799,12.37319183
32,635,628,642,10.29364688,6.986330032,13.0128746
33,651.5,645,658,9.917030879,6.276760101,13.6464386
34,674,667,681,9.879896323,6.279547215,12.01097584
35,696.5,690,703,9.225650549,7.170915604,11.63912582
36,719,712,726,10.73144217,7.578273296,13.95673656
37,741.5,735,748,9.721475158,7.382998943,13.48702621
38,757.5,751,764,9.767743145,7.429606915,13.21904755
39,780,773,787,9.663088449,7.218108654,12.83794212
40,802.5,796,809,10.29288639,7.983898163,12.03403473
41,819,812,826,10.65378386,8.286992073,13.11121368
42,841.5,835,848,10.29449974,6.828595161,13.78498459
43,864,857,871,10.12746452,7.272937298,14.54656601
44,886.5,880,893,9.535569634,7.561846733,13.81435299
45,909,902,916,9.690575441,6.443351746,12.44250107
46,931.5,925,938,10.00093872,7.301655293,12.88942528
47,948,941,955,9.875650533,7.550756454,12.63297176
48,970.5,964,977,9.80752962,6.486203671,12.97508717
49,993,986,1000,9.765650368,7.690154076,12.36791134
50,1015.5,1009,1022,9.80770295,7.856641769,14.21437836
51,1031.5,1025,1038,10.20742403,8.033849716,13.06949997
52,1054,1047,1061,10.68117113,7.709165096,13.46396446
53,1076.5,1070,1083,10.02497012,8.531755447,11.74759483
54,1099,1092,1106,10.43887825,7.949251175,14.67653084
55,1115.5,1109,1122,10.35439982,8.774106026,11.90853119
56,1138,1131,1145,9.885131105,7.513284206,12.584342
57,1154.5,1148,1161,10.47742435,8.144787788,12.46148968
58,1171,1164,1178,9.911490186,7.391960621,13.99735069
59,1193.5,1187,1200,10.02845335,6.286527634,17.75550461
60,1210,1203,1217,10.31754195,6.647603035,15.43511963
61,1232.5,1226,1239,10.0703049,7.930489063,13.03413582
62,1254.5,1248,1261,10.03581047,7.664829254,12.80518913
63,1271,1264,1278,9.719337877,7.393164158,12.31099987
64,1293.5,1287,1300,10.18920578,7.697063446,13.0448513
65,1316,1309,1323,9.849745051,6.764330387,12.42463112
66,1338.5,1332,1345,9.60424212,7.634233952,12.45414162
67,1355,1348,1362,9.890398026,7.130346775,11.87750626
68,1377.5,1371,1384,10.44126466,7.550920486,13.90403557
69,1400,1393,1407,9.661742783,7.730308056,12.61877251
70,1416.5,1410,1423,9.822308983,7.247877598,13.07555962
71,1433,1426,1440,9.941378975,6.672260761,12.28939533
72,1455.5,1449,1462,11.07940504,7.467480659,14.01070499
73,1472,1465,1479,9.942444674,7.401600838,13.4224205
74,1494.5,1488,1501,9.706447431,6.375069141,13.77126122
75,1516.5,1510,1523,9.596065521,6.698503494,13.42538738
76,1539,1532,1546,9.867577203,7.89131403,14.00942993
77,1555.5,1549,1562,10.05169197,7.635808945,13.90791512
78,1578,1571,1585,10.31451403,6.450550079,15.0283947
79,1594.5,1588,1601,9.877081837,7.848124504,13.46456623
80,1617,1610,1624,10.25182076,7.524689674,14.39986038
81,1639.5,1633,1646,9.382721935,6.873717308,13.12069035
82,1662,1655,1669,10.40154422,6.612898827,14.76370335
83,1684.5,1678,1691,9.85932609,7.535361767,12.28500843
84,1707,1700,1714,10.18586553,7.059617043,11.85930729
85,1723.5,1717,1730,10.08416135,7.669725418,13.648839
86,1740,1733,1747,10.05161533,6.20613575,13.27002144
87,1756.5,1750,1763,10.30700019,6.853749752,13.22376823
88,1778.5,1772,1785,10.95903928,7.710045815,14.2026701
89,1801,1794,1808,10.42254314,7.683109283,16.21563721
90,1817.5,1811,1824,10.28541984,7.479503155,13.86486149
91,1840,1833,1847,9.542070484,5.945446014,13.1181097
92,1856.5,1850,1863,10.4052187,6.653676987,14.39440918
93,1873,1866,1880,9.983403428,6.567286968,12.97666931
94,1895.5,1889,1902,9.826031004,6.941330433,13.74543953
95,1918,1911,1925,10.02773902,7.350960732,13.57235527
96,1940.5,1934,1947,10.86181218,8.887823105,13.32937336
97,1963,1956,1970,10.21529201,6.323993683,13.93988037
98,1985.5,1979,1992,10.04406929,7.403406143,15.26061821
99,2008,2001,2015,10.29298236,7.692085266,14.37317276
100,2024.5,2018,2031,9.868113382,8.213070869,13.07977772
101,2046.5,2040,2053,9.51328751,7.24523592,12.83880711
102,2063,2056,2070,9.5565334,7.45395565,13.45254421
103,2085.5,2079,2092,9.793278422,7.826322556,15.18875885
104,2108,2101,2115,10.1452287,7.866251945,14.95977497
105,2124.5,2118,2131,9.917099714,7.668090343,13.32803726
106,2141,2134,2148,10.12743556,7.217838287,12.44283772
107,2163.5,2157,2170,10.53019347,8.36904335,14.38123226
108,2186,2179,2193,10.23655087,7.605208397,13.05306911
109,2208.5,2202,2215,10.47609554,7.080245018,13.61407757
110,2231,2224,2238,10.24533173,7.437767029,16.20832062
111,2253.5,2247,2260,9.132404396,5.406622887,12.12368774
112,2269.5,2263,2276,10.71756172,8.992696762,16.58642006
113,2292,2285,2299,9.751584752,7.209838867,11.98743725
114,2314.5,2308,2321,10.906147,7.37567234,14.18962383
115,2337,2330,2344,10.15817827,7.746629715,14.20571709
116,2353.5,2347,2360,10.51440334,8.944025993,13.85785007
117,2376,2369,2383,10.59585505,7.189654827,12.70181465
118,2398.5,2392,2405,10.13746646,7.541987896,13.55545044
119,2415,2408,2422,9.25283006,6.560036659,11.33251762
120,2437.5,2431,2444,10.07274764,7.745861053,13.08420372
121,2460,2453,2467,9.70448885,6.670750618,12.07721615
122,2476.5,2470,2483,9.77204442,6.891078472,12.13528538
123,2499,2492,2506,9.46841774,6.626040459,13.58204746
124,2521.5,2515,2528,9.241850001,6.887862682,10.42756176
125,2543.5,2537,2550,10.40912945,6.005259037,13.33846188
126,2566,2559,2573,9.844978428,6.452462673,14.92189884
127,2582.5,2576,2589,9.683232137,7.220971107,12.08502293
128,2599,2592,2606,10.06362149,7.895560741,13.82341385
129,2621.5,2615,2628,10.06171724,6.612534523,12.55816078
130,2638,2631,2645,9.904497687,7.157866955,13.53340912
131,2660.5,2654,2667,10.54016025,8.182579041,12.48205566
132,2677,2670,2684,9.487748845,7.380580902,11.73493958
133,2699.5,2693,2706,10.02282967,8.294381142,12.08521748
134,2722,2715,2729,11.29893843,7.323784828,16.05366325
135,2738.5,2732,2745,10.3238478,7.196455479,13.90814877
136,2761,2754,2768,10.34526711,7.369235992,12.7873621
137,2777.5,2771,2784,10.18560641,7.475732803,12.87424183
138,2799.5,2793,2806,9.631142889,6.697242737,11.70144081
139,2816,2809,2823,10.77442245,7.816270828,14.54445648
140,2838.5,2832,2845,9.71041911,5.992306709,14.12769699
141,2855,2848,2862,9.785958195,7.460371017,14.13849926
142,2877.5,2871,2884,10.52781831,7.675967216,13.65408993
143,2894,2887,2901,9.621846994,6.29741621,12.43540001
144,2916.5,2910,2923,8.99392581,6.712346077,11.8730793
145,2939,2932,2946,9.450610828,7.298692703,12.71090126
146,2961.5,2955,2968,9.742565155,7.523093224,12.66678905
147,2984,2977,2991,9.675592264,7.445954323,13.08777714
148,3000.5,2994,3007,9.993243728,7.304549694,11.94955921
149,3023,3016,3030,10.24754454,8.13637352,13.5282917
150,3045.5,3039,3052,10.68255414,7.330322742,13.88759422
151,3061.5,3055,3068,10.0963003,7.861810207,11.67715168
152,3078,3071,3085,9.439211305,7.423676491,11.45013237
153,3094.5,3088,3101,9.940252611,7.418941975,12.55258656
154,3111,3104,3118,10.14946842,7.331507683,13.55846024
155,3127.5,3121,3134,10.04249821,7.442634106,12.47603035
156,3150,3143,3157,10.33495712,8.548628807,13.18015289
157,3166.5,3160,3173,11.12138741,9.098186493,19.92046928
158,3183,3176,3190,10.99096384,7.697611332,15.25169945
159,3199.5,3193,3206,9.510671275,6.561869621,11.94429302
160,3222,3215,3229,9.748945014,6.853861332,13.18893433
161,3244.5,3238,3251,10.11663205,7.708625793,14.06837463
162,3260.5,3254,3267,9.500591993,6.745207787,13.44454575
163,3283,3276,3290,10.13404446,6.846453667,13.72202492
164,3299.5,3293,3306,9.893724646,7.2625947,11.83491802
165,3322,3315,3329,10.28626912,6.275947571,15.08624172
166,3344.5,3338,3351,10.30692962,6.988311768,14.53187752
167,3367,3360,3374,10.50344639,8.209516525,15.13460255
168,3383.5,3377,3390,10.23891033,6.822602272,13.19719219
169,3400,3393,3407,9.983870697,7.466668129,15.93044853
170,3422.5,3416,3429,10.50024642,7.646907806,13.86445618
171,3439,3432,3446,10.39551627,6.787461758,14.01125526
172,3461.5,3455,3468,10.37835796,7.850042343,13.77245903
173,3478,3471,3485,9.231874402,6.550791264,10.86838627
174,3494.5,3488,3501,10.51064079,7.216842175,13.48956013
175,3510.5,3504,3517,9.831384523,7.054700375,12.89388657
176,3533,3526,3540,10.04803769,7.321359634,12.2100563
177,3549.5,3543,3556,9.334794794,7.251928329,11.53024769
178,3566,3559,3573,10.11512683,7.340588093,13.00583458
179,3588.5,3582,3595,10.42570761,7.597673416,13.28581429
180,3611,3604,3618,9.06342535,6.258372307,11.21704865
181,3627.5,3621,3634,10.1061602,7.215576172,12.26594162
182,3650,3643,3657,10.31766246,7.833955288,14.91263008
183,3672.5,3666,3679,9.953334502,6.321510315,13.6447525
184,3695,3688,3702,10.38863411,8.349349022,13.7057991
185,3711.5,3705,3718,9.840500559,7.960998535,12.96323872
186,3734,3727,3741,9.800646146,7.724030495,13.09538364
187,3756.5,3750,3763,9.918776785,7.265731812,12.43321323
188,3772.5,3766,3779,9.810964244,6.516352177,14.71179867
189,3795,3788,3802,10.58780839,7.726142406,13.83526802
190,3817.5,3811,3824,10.62087481,7.550293922,14.69682217
191,3840,3833,3847,10.29074847,6.514174461,14.3548584
192,3856.5,3850,3863,10.45464788,8.143834114,13.04525757
193,3873,3866,3880,10.01235685,7.277321339,14.61314297
194,3895.5,3889,3902,10.45285194,7.913787365,16.98635292
195,3912,3905,3919,10.36793308,7.687539101,14.41887665
196,3928.5,3922,3935,10.18576224,7.76331377,12.69387817
197,3945,3938,3952,9.919294643,6.753418446,14.45583153
198,3961.5,3955,3968,9.382106645,6.91542244,12.13004303
199,3978,3971,3985,9.960442988,8.362472534,12.44424057
200,4000.5,3994,4007,9.445260014,6.729550362,13.10272121
