"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm__MAX"
"0","","","","","","","","","","","","","21","21","21","0.14440606534481049","0.14440606534481049","0.14440606534481049"
"1","","","","","","","","","","","","","43","43","43","0.23881959915161133","0.23881959915161133","0.23881959915161133"
"2","","","","","","","","","","","","","66","66","66","0.3219272494316101","0.3219272494316101","0.3219272494316101"
"3","","","","","","","","","","","","","88","88","88","0.4149351119995117","0.4149351119995117","0.4149351119995117"
"4","","","","","","","","","","","","","111","111","111","0.5296971201896667","0.5296971201896667","0.5296971201896667"
"5","","","","","","","","","","","","","133","133","133","0.6412384510040283","0.6412384510040283","0.6412384510040283"
"6","","","","","","","","","","","","","156","156","156","0.837508499622345","0.837508499622345","0.837508499622345"
"7","","","","","","","","","","","","","178","178","178","0.9944434762001038","0.9944434762001038","0.9944434762001038"
"8","","","","","","","","","","","","","201","201","201","1.10318922996521","1.10318922996521","1.10318922996521"
"9","","","","","","","","","","","","","223","223","223","1.1991814374923706","1.1991814374923706","1.1991814374923706"
"10","","","","","","","","","","","","","246","246","246","1.2572565078735352","1.2572565078735352","1.2572565078735352"
"11","","","","","","","","","","","","","268","268","268","1.2868874073028564","1.2868874073028564","1.2868874073028564"
"12","","","","","","","","","","","","","290","290","290","1.3140076398849487","1.3140076398849487","1.3140076398849487"
"13","","","","","","","","","","","","","313","313","313","1.3562285900115967","1.3562285900115967","1.3562285900115967"
