"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX"
"0","","","","","","","","","","","","","21","21","21","11.403363227844238","11.403363227844238","11.403363227844238"
"1","","","","","","","","","","","","","43","43","43","11.436256408691406","11.436256408691406","11.436256408691406"
"2","","","","","","","","","","","","","66","66","66","11.473214149475098","11.473214149475098","11.473214149475098"
"3","","","","","","","","","","","","","88","88","88","11.517915725708008","11.517915725708008","11.517915725708008"
"4","","","","","","","","","","","","","111","111","111","11.57867431640625","11.57867431640625","11.57867431640625"
"5","","","","","","","","","","","","","133","133","133","11.673565864562988","11.673565864562988","11.673565864562988"
"6","","","","","","","","","","","","","156","156","156","11.762022018432617","11.762022018432617","11.762022018432617"
"7","","","","","","","","","","","","","178","178","178","11.809077262878418","11.809077262878418","11.809077262878418"
"8","","","","","","","","","","","","","201","201","201","11.845500946044922","11.845500946044922","11.845500946044922"
"9","","","","","","","","","","","","","223","223","223","11.949666023254395","11.949666023254395","11.949666023254395"
"10","","","","","","","","","","","","","246","246","246","11.99366569519043","11.99366569519043","11.99366569519043"
"11","","","","","","","","","","","","","268","268","268","12.044474601745605","12.044474601745605","12.044474601745605"
"12","","","","","","","","","","","","","290","290","290","12.113300323486328","12.113300323486328","12.113300323486328"
"13","","","","","","","","","","","","","313","313","313","12.147269248962402","12.147269248962402","12.147269248962402"
"14","","","","","","","","","","","","","335","335","335","12.228616714477539","12.228616714477539","12.228616714477539"
"15","","","","","","","","","","","","","358","358","358","12.25265121459961","12.25265121459961","12.25265121459961"
