"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MAX"
"0","","","","","","","","","","","","","21","21","21","0.33543598651885986","0.33543598651885986","0.33543598651885986"
"1","","","","","","","","","","","","","43","43","43","0.3353816866874695","0.3353816866874695","0.3353816866874695"
"2","","","","","","","","","","","","","66","66","66","0.33501768112182617","0.33501768112182617","0.33501768112182617"
"3","","","","","","","","","","","","","88","88","88","0.3342917561531067","0.3342917561531067","0.3342917561531067"
"4","","","","","","","","","","","","","111","111","111","0.33452099561691284","0.33452099561691284","0.33452099561691284"
"5","","","","","","","","","","","","","133","133","133","0.3376897871494293","0.3376897871494293","0.3376897871494293"
"6","","","","","","","","","","","","","156","156","156","0.3430274426937103","0.3430274426937103","0.3430274426937103"
"7","","","","","","","","","","","","","178","178","178","0.34619322419166565","0.34619322419166565","0.34619322419166565"
"8","","","","","","","","","","","","","201","201","201","0.34894314408302307","0.34894314408302307","0.34894314408302307"
"9","","","","","","","","","","","","","223","223","223","0.36472517251968384","0.36472517251968384","0.36472517251968384"
"10","","","","","","","","","","","","","246","246","246","0.364399790763855","0.364399790763855","0.364399790763855"
"11","","","","","","","","","","","","","268","268","268","0.36648306250572205","0.36648306250572205","0.36648306250572205"
"12","","","","","","","","","","","","","290","290","290","0.3750551640987396","0.3750551640987396","0.3750551640987396"
"13","","","","","","","","","","","","","313","313","313","0.3755650520324707","0.3755650520324707","0.3755650520324707"
"14","","","","","","","","","","","","","335","335","335","0.3831365406513214","0.3831365406513214","0.3831365406513214"
"15","","","","","","","","","","","","","358","358","358","0.38728317618370056","0.38728317618370056","0.38728317618370056"
"16","","","","","","","","","","","","","380","380","380","0.39365991950035095","0.39365991950035095","0.39365991950035095"
"17","","","","","","","","","","","","","403","403","403","0.3947368562221527","0.3947368562221527","0.3947368562221527"
"18","","","","","","","","","","","","","425","425","425","0.39622101187705994","0.39622101187705994","0.39622101187705994"
"19","","","","","","","","","","","","","448","448","448","0.40196365118026733","0.40196365118026733","0.40196365118026733"
"20","","","","","","","","","","","","","470","470","470","0.40992894768714905","0.40992894768714905","0.40992894768714905"
"21","","","","","","","","","","","","","493","493","493","0.41420096158981323","0.41420096158981323","0.41420096158981323"
"22","","","","","","","","","","","","","515","515","515","0.42094793915748596","0.42094793915748596","0.42094793915748596"
"23","","","","","","","","","","","","","538","538","538","0.4263345003128052","0.4263345003128052","0.4263345003128052"
"24","","","","","","","","","","","","","560","560","560","0.4261891543865204","0.4261891543865204","0.4261891543865204"
"25","","","","","","","","","","","","","582","582","582","0.4386066794395447","0.4386066794395447","0.4386066794395447"
"26","","","","","","","","","","","","","605","605","605","0.44028031826019287","0.44028031826019287","0.44028031826019287"
"27","","","","","","","","","","","","","627","627","627","0.4467845559120178","0.4467845559120178","0.4467845559120178"
"28","","","","","","","","","","","","","650","650","650","0.45470088720321655","0.45470088720321655","0.45470088720321655"
"29","","","","","","","","","","","","","672","672","672","0.46044543385505676","0.46044543385505676","0.46044543385505676"
"30","","","","","","","","","","","","","695","695","695","0.46135395765304565","0.46135395765304565","0.46135395765304565"
"31","","","","","","","","","","","","","717","717","717","0.4703061282634735","0.4703061282634735","0.4703061282634735"
"32","","","","","","","","","","","","","740","740","740","0.4700925052165985","0.4700925052165985","0.4700925052165985"
"33","","","","","","","","","","","","","762","762","762","0.480709433555603","0.480709433555603","0.480709433555603"
"34","","","","","","","","","","","","","785","785","785","0.49025195837020874","0.49025195837020874","0.49025195837020874"
"35","","","","","","","","","","","","","807","807","807","0.4957307279109955","0.4957307279109955","0.4957307279109955"
