"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm__MAX"
"0","","","","","","","","","","","","","21","21","21","0.565945565700531","0.565945565700531","0.565945565700531"
"1","","","","","","","","","","","","","43","43","43","0.5671724081039429","0.5671724081039429","0.5671724081039429"
"2","","","","","","","","","","","","","66","66","66","0.5672487020492554","0.5672487020492554","0.5672487020492554"
"3","","","","","","","","","","","","","88","88","88","0.5676800012588501","0.5676800012588501","0.5676800012588501"
"4","","","","","","","","","","","","","111","111","111","0.5667165517807007","0.5667165517807007","0.5667165517807007"
"5","","","","","","","","","","","","","133","133","133","0.5653761625289917","0.5653761625289917","0.5653761625289917"
"6","","","","","","","","","","","","","156","156","156","0.5660839080810547","0.5660839080810547","0.5660839080810547"
"7","","","","","","","","","","","","","178","178","178","0.5668687224388123","0.5668687224388123","0.5668687224388123"
"8","","","","","","","","","","","","","201","201","201","0.5671851634979248","0.5671851634979248","0.5671851634979248"
"9","","","","","","","","","","","","","223","223","223","0.5672354698181152","0.5672354698181152","0.5672354698181152"
"10","","","","","","","","","","","","","246","246","246","0.5675565600395203","0.5675565600395203","0.5675565600395203"
"11","","","","","","","","","","","","","268","268","268","0.5683208107948303","0.5683208107948303","0.5683208107948303"
"12","","","","","","","","","","","","","290","290","290","0.5673688650131226","0.5673688650131226","0.5673688650131226"
"13","","","","","","","","","","","","","313","313","313","0.5695392489433289","0.5695392489433289","0.5695392489433289"
