"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MAX"
"0","","","","","","","","","","","","","21","21","21","8.01496410369873","8.01496410369873","8.01496410369873"
"1","","","","","","","","","","","","","43","43","43","8.03214168548584","8.03214168548584","8.03214168548584"
"2","","","","","","","","","","","","","66","66","66","8.036382675170898","8.036382675170898","8.036382675170898"
"3","","","","","","","","","","","","","88","88","88","8.041950225830078","8.041950225830078","8.041950225830078"
"4","","","","","","","","","","","","","111","111","111","8.04667854309082","8.04667854309082","8.04667854309082"
"5","","","","","","","","","","","","","133","133","133","8.050722122192383","8.050722122192383","8.050722122192383"
"6","","","","","","","","","","","","","156","156","156","8.053950309753418","8.053950309753418","8.053950309753418"
"7","","","","","","","","","","","","","178","178","178","8.058568000793457","8.058568000793457","8.058568000793457"
"8","","","","","","","","","","","","","201","201","201","8.061542510986328","8.061542510986328","8.061542510986328"
"9","","","","","","","","","","","","","223","223","223","8.065386772155762","8.065386772155762","8.065386772155762"
"10","","","","","","","","","","","","","246","246","246","8.068628311157227","8.068628311157227","8.068628311157227"
"11","","","","","","","","","","","","","268","268","268","8.071860313415527","8.071860313415527","8.071860313415527"
"12","","","","","","","","","","","","","290","290","290","8.075111389160156","8.075111389160156","8.075111389160156"
"13","","","","","","","","","","","","","313","313","313","8.077826499938965","8.077826499938965","8.077826499938965"
