"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MAX"
"0","","","","","","","","","","","","","21","21","21","5.644290447235107","5.644290447235107","5.644290447235107"
"1","","","","","","","","","","","","","43","43","43","5.631868839263916","5.631868839263916","5.631868839263916"
"2","","","","","","","","","","","","","66","66","66","5.621570587158203","5.621570587158203","5.621570587158203"
"3","","","","","","","","","","","","","88","88","88","5.612855434417725","5.612855434417725","5.612855434417725"
"4","","","","","","","","","","","","","111","111","111","5.605653285980225","5.605653285980225","5.605653285980225"
"5","","","","","","","","","","","","","133","133","133","5.599939346313477","5.599939346313477","5.599939346313477"
"6","","","","","","","","","","","","","156","156","156","5.594778060913086","5.594778060913086","5.594778060913086"
"7","","","","","","","","","","","","","178","178","178","5.589659690856934","5.589659690856934","5.589659690856934"
"8","","","","","","","","","","","","","201","201","201","5.584762096405029","5.584762096405029","5.584762096405029"
"9","","","","","","","","","","","","","223","223","223","5.5802321434021","5.5802321434021","5.5802321434021"
"10","","","","","","","","","","","","","246","246","246","5.575663089752197","5.575663089752197","5.575663089752197"
"11","","","","","","","","","","","","","268","268","268","5.571226119995117","5.571226119995117","5.571226119995117"
"12","","","","","","","","","","","","","290","290","290","5.5674729347229","5.5674729347229","5.5674729347229"
"13","","","","","","","","","","","","","313","313","313","5.5637593269348145","5.5637593269348145","5.5637593269348145"
"14","","","","","","","","","","","","","335","335","335","5.560426712036133","5.560426712036133","5.560426712036133"
"15","","","","","","","","","","","","","358","358","358","5.556795597076416","5.556795597076416","5.556795597076416"
"16","","","","","","","","","","","","","380","380","380","5.553497791290283","5.553497791290283","5.553497791290283"
"17","","","","","","","","","","","","","403","403","403","5.550645351409912","5.550645351409912","5.550645351409912"
"18","","","","","","","","","","","","","425","425","425","5.547543048858643","5.547543048858643","5.547543048858643"
"19","","","","","","","","","","","","","448","448","448","5.544559001922607","5.544559001922607","5.544559001922607"
