"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm__MAX"
"0","","","","","","","","","","","","","21","21","21","0.022610502317547798","0.022610502317547798","0.022610502317547798"
"1","","","","","","","","","","","","","43","43","43","0.03038797341287136","0.03038797341287136","0.03038797341287136"
"2","","","","","","","","","","","","","66","66","66","0.033821795135736465","0.033821795135736465","0.033821795135736465"
"3","","","","","","","","","","","","","88","88","88","0.03776020556688309","0.03776020556688309","0.03776020556688309"
"4","","","","","","","","","","","","","111","111","111","0.04104572534561157","0.04104572534561157","0.04104572534561157"
"5","","","","","","","","","","","","","133","133","133","0.045913662761449814","0.045913662761449814","0.045913662761449814"
"6","","","","","","","","","","","","","156","156","156","0.048825453966856","0.048825453966856","0.048825453966856"
"7","","","","","","","","","","","","","178","178","178","0.05048857629299164","0.05048857629299164","0.05048857629299164"
"8","","","","","","","","","","","","","201","201","201","0.05159541592001915","0.05159541592001915","0.05159541592001915"
"9","","","","","","","","","","","","","223","223","223","0.053340066224336624","0.053340066224336624","0.053340066224336624"
"10","","","","","","","","","","","","","246","246","246","0.05449465289711952","0.05449465289711952","0.05449465289711952"
"11","","","","","","","","","","","","","268","268","268","0.055780041962862015","0.055780041962862015","0.055780041962862015"
"12","","","","","","","","","","","","","290","290","290","0.057460587471723557","0.057460587471723557","0.057460587471723557"
"13","","","","","","","","","","","","","313","313","313","0.05867283418774605","0.05867283418774605","0.05867283418774605"
"14","","","","","","","","","","","","","335","335","335","0.060303945094347","0.060303945094347","0.060303945094347"
"15","","","","","","","","","","","","","358","358","358","0.06142809987068176","0.06142809987068176","0.06142809987068176"
"16","","","","","","","","","","","","","380","380","380","0.06247634068131447","0.06247634068131447","0.06247634068131447"
"17","","","","","","","","","","","","","403","403","403","0.06316565722227097","0.06316565722227097","0.06316565722227097"
"18","","","","","","","","","","","","","425","425","425","0.06394375115633011","0.06394375115633011","0.06394375115633011"
"19","","","","","","","","","","","","","448","448","448","0.06500199437141418","0.06500199437141418","0.06500199437141418"
"20","","","","","","","","","","","","","470","470","470","0.06616000831127167","0.06616000831127167","0.06616000831127167"
"21","","","","","","","","","","","","","493","493","493","0.06705130636692047","0.06705130636692047","0.06705130636692047"
"22","","","","","","","","","","","","","515","515","515","0.06789501756429672","0.06789501756429672","0.06789501756429672"
"23","","","","","","","","","","","","","538","538","538","0.06899820268154144","0.06899820268154144","0.06899820268154144"
"24","","","","","","","","","","","","","560","560","560","0.07016570121049881","0.07016570121049881","0.07016570121049881"
"25","","","","","","","","","","","","","582","582","582","0.07081402093172073","0.07081402093172073","0.07081402093172073"
"26","","","","","","","","","","","","","605","605","605","0.07197709381580353","0.07197709381580353","0.07197709381580353"
"27","","","","","","","","","","","","","627","627","627","0.07394437491893768","0.07394437491893768","0.07394437491893768"
"28","","","","","","","","","","","","","650","650","650","0.07490374892950058","0.07490374892950058","0.07490374892950058"
"29","","","","","","","","","","","","","672","672","672","0.07636628299951553","0.07636628299951553","0.07636628299951553"
"30","","","","","","","","","","","","","695","695","695","0.07802711427211761","0.07802711427211761","0.07802711427211761"
"31","","","","","","","","","","","","","717","717","717","0.07992899417877197","0.07992899417877197","0.07992899417877197"
