"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm__MAX"
"0","","","","","","","","","","","","","21","21","21","11.315787315368652","11.315787315368652","11.315787315368652"
"1","","","","","","","","","","","","","43","43","43","11.316970825195312","11.316970825195312","11.316970825195312"
"2","","","","","","","","","","","","","66","66","66","11.318684577941895","11.318684577941895","11.318684577941895"
"3","","","","","","","","","","","","","88","88","88","11.31921672821045","11.31921672821045","11.31921672821045"
"4","","","","","","","","","","","","","111","111","111","11.320389747619629","11.320389747619629","11.320389747619629"
"5","","","","","","","","","","","","","133","133","133","11.320392608642578","11.320392608642578","11.320392608642578"
"6","","","","","","","","","","","","","156","156","156","11.32114315032959","11.32114315032959","11.32114315032959"
"7","","","","","","","","","","","","","178","178","178","11.322964668273926","11.322964668273926","11.322964668273926"
"8","","","","","","","","","","","","","201","201","201","11.323641777038574","11.323641777038574","11.323641777038574"
"9","","","","","","","","","","","","","223","223","223","11.322635650634766","11.322635650634766","11.322635650634766"
"10","","","","","","","","","","","","","246","246","246","11.323710441589355","11.323710441589355","11.323710441589355"
"11","","","","","","","","","","","","","268","268","268","11.323991775512695","11.323991775512695","11.323991775512695"
"12","","","","","","","","","","","","","290","290","290","11.324304580688477","11.324304580688477","11.324304580688477"
"13","","","","","","","","","","","","","313","313","313","11.32385540008545","11.32385540008545","11.32385540008545"
"14","","","","","","","","","","","","","335","335","335","11.323343276977539","11.323343276977539","11.323343276977539"
